Wavelength (nm)	CHL153_13(2)-OH Chllide a, Et2O (Holt, 1958).abs
382.64	0.38251
385.68	0.38430
388.22	0.38965
390.25	0.39619
392.20	0.40750
394.57	0.43665
398.38	0.51398
401.17	0.56812
404.21	0.62106
406.41	0.65021
408.36	0.66925
410.64	0.67817
412.68	0.68233
414.28	0.68531
415.81	0.69423
417.41	0.71386
419.11	0.75015
420.63	0.79893
421.98	0.85188
423.42	0.89947
425.11	0.94408
426.81	0.97859
428.16	0.99465
429.00	1.0000
429.85	0.99465
430.60	0.97680
431.95	0.89530
433.91	0.73587
436.45	0.54849
438.91	0.36705
440.34	0.27841
441.70	0.22011
443.22	0.16835
445.42	0.11124
447.28	0.079715
449.74	0.050565
452.44	0.034503
456.65	0.019631
461.33	0.011898
466.57	0.010113
474.10	0.0089233
480.45	0.010113
486.04	0.014872
491.03	0.020226
496.10	0.022011
501.18	0.021416
506.51	0.016657
509.56	0.017847
515.40	0.024390
520.13	0.030339
524.20	0.035098
527.83	0.038926
531.13	0.038668
534.94	0.035098
538.58	0.031529
541.71	0.027365
544.84	0.024390
547.72	0.023795
550.51	0.025580
553.89	0.028555
557.11	0.035098
560.41	0.042237
564.47	0.048781
567.69	0.052945
570.82	0.054354
574.12	0.052945
577.25	0.048781
580.11	0.043427
583.26	0.036288
585.88	0.032719
588.42	0.033314
591.04	0.037478
593.32	0.046401
595.95	0.056514
599.00	0.070197
601.35	0.080905
603.82	0.088638
607.00	0.096967
609.82	0.10232
612.02	0.10351
615.32	0.10113
617.52	0.096967
619.64	0.091613
621.42	0.085664
623.79	0.078525
626.83	0.071981
628.69	0.070792
630.39	0.071386
632.67	0.073766
634.78	0.078525
636.98	0.086853
638.59	0.097561
640.45	0.11422
642.40	0.14158
644.43	0.18917
646.63	0.26472
649.51	0.36288
652.55	0.47531
654.75	0.55562
656.53	0.61154
658.60	0.67282
660.00	0.68115
661.25	0.67222
662.37	0.64307
664.91	0.51339
667.68	0.36467
669.73	0.26532
671.42	0.18798
672.78	0.14277
674.05	0.10529
675.31	0.076145
676.84	0.057109
678.70	0.039263
680.22	0.027960
682.42	0.016657
684.37	0.010708
686.40	0.0084500
