Wavelength (nm)	CHL156_3-Et Chl e6, DMSO (Uliana, 2014).abs
300.50	0.021937
303.75	0.026962
308.98	0.030509
312.79	0.034647
316.71	0.039080
320.30	0.047357
323.67	0.056224
326.72	0.065682
329.87	0.078097
333.68	0.091989
337.38	0.10677
341.41	0.12687
345.55	0.14933
349.14	0.17268
352.51	0.19219
356.32	0.20845
360.02	0.22529
363.72	0.24421
366.66	0.26431
370.03	0.29209
372.54	0.32195
374.82	0.35742
377.54	0.40944
379.83	0.46294
384.18	0.55871
388.55	0.67812
391.36	0.78660
393.43	0.87320
394.74	0.92345
396.48	0.98197
397.46	0.99793
398.22	1.0000
398.98	0.99764
399.96	0.98316
401.05	0.94769
403.12	0.87438
405.95	0.74019
408.56	0.60836
411.28	0.47328
413.57	0.35180
415.74	0.26697
417.92	0.19485
419.88	0.15554
422.05	0.11682
424.30	0.092580
426.19	0.073959
428.91	0.053859
431.85	0.039080
435.22	0.028144
438.27	0.018685
443.38	0.013956
448.28	0.011592
453.51	0.011000
458.73	0.010409
463.41	0.010705
467.76	0.011592
471.79	0.013069
475.60	0.014525
479.84	0.019572
482.13	0.026075
483.87	0.034942
485.72	0.044105
488.01	0.055042
489.86	0.063909
491.81	0.068934
495.19	0.072776
498.78	0.073845
501.61	0.070116
504.00	0.059475
506.83	0.044696
509.77	0.029917
513.25	0.019572
517.93	0.012478
522.51	0.0098110
526.75	0.0085711
530.89	0.0071579
534.69	0.0054498
538.61	0.0050889
542.86	0.0053845
547.97	0.0056800
552.87	0.0062712
556.57	0.0059756
560.92	0.0039066
565.06	0.0021331
570.06	0.0018375
575.40	0.0021331
579.53	0.0039066
582.90	0.0065668
586.82	0.012774
589.11	0.016616
591.50	0.019277
594.66	0.021346
598.03	0.021050
601.41	0.018390
604.78	0.015730
608.20	0.012183
611.20	0.011000
615.34	0.011296
619.47	0.012048
623.72	0.013069
627.74	0.015434
631.12	0.019572
633.30	0.026962
635.22	0.037307
636.94	0.050854
638.94	0.071545
640.66	0.098393
642.47	0.13386
643.92	0.16909
645.38	0.20308
646.74	0.23485
647.37	0.25037
648.01	0.26342
648.73	0.27549
650.00	0.27746
651.27	0.27525
651.81	0.26589
652.99	0.23978
654.44	0.19667
656.26	0.15037
657.53	0.11884
658.71	0.090757
660.52	0.065140
662.06	0.045682
663.60	0.029425
666.23	0.015631
669.14	0.0075028
672.31	0.0033154
676.21	0.0010986
680.56	0.00035964
686.19	0.00023596
690.99	0.00021333
696.71	0.00021333
