Wavelength (nm)	CHL157_Mg Chl e6 TME, Et2O (Holt, 1958).abs
379.61	0.21679
382.91	0.25396
386.68	0.30365
391.27	0.36661
395.12	0.41895
397.14	0.44171
399.71	0.46370
401.46	0.48684
402.65	0.51339
406.14	0.61845
408.53	0.74096
410.00	0.83767
411.28	0.91087
412.00	0.94501
413.45	0.98104
414.68	0.99697
416.00	1.0000
417.00	0.99583
418.26	0.97118
419.27	0.90898
420.83	0.78609
424.04	0.53235
426.25	0.38406
428.82	0.22666
430.84	0.14246
432.31	0.098840
433.87	0.068118
435.61	0.047637
437.36	0.034742
439.84	0.023363
442.41	0.016916
445.99	0.012364
450.95	0.0092895
454.62	0.0085717
458.29	0.0089509
463.34	0.0085717
468.30	0.0093302
474.45	0.0097095
480.69	0.010847
485.19	0.011606
488.77	0.013502
491.53	0.015767
494.37	0.017828
497.31	0.018243
500.71	0.018054
504.75	0.017674
508.06	0.018812
511.64	0.021846
515.22	0.024881
518.98	0.028673
522.47	0.030190
525.68	0.029867
528.99	0.028294
532.39	0.025260
536.15	0.021088
539.64	0.019571
543.86	0.017674
548.00	0.017674
551.85	0.018054
555.34	0.020329
559.01	0.022226
563.24	0.023584
566.91	0.023363
570.86	0.023743
574.90	0.024122
578.20	0.026018
581.60	0.031708
586.01	0.039672
589.10	0.046120
593.26	0.054464
596.75	0.058940
599.78	0.059774
603.36	0.057878
607.68	0.055223
610.71	0.051051
613.92	0.048775
616.31	0.049154
618.97	0.053326
621.45	0.059395
623.47	0.068497
625.03	0.083669
626.59	0.10453
628.88	0.14056
631.28	0.18721
633.11	0.23955
634.76	0.29113
636.60	0.33627
637.52	0.35599
638.62	0.37344
639.87	0.38747
641.00	0.39088
642.30	0.38709
643.82	0.37723
645.69	0.35106
647.98	0.29834
650.48	0.22400
652.94	0.16559
655.05	0.12804
657.40	0.091254
659.55	0.067739
661.85	0.046120
664.05	0.030949
667.08	0.019191
670.02	0.012364
674.25	0.0078131
677.64	0.0047789
680.76	0.0036411
683.51	0.0029875
685.78	0.0029875
