Wavelength (nm)	CHL158_Mg Chl e6 TME, MeOH (Porra, 1990).abs
400.77	0.63481
402.02	0.64690
403.12	0.66225
404.07	0.67984
405.17	0.70991
406.12	0.74029
407.07	0.77355
408.17	0.81513
409.49	0.85383
411.10	0.91076
412.05	0.94147
412.93	0.96130
413.88	0.98177
415.27	0.99776
416.00	1.00000
416.66	0.99712
417.97	0.98017
419.22	0.93731
421.34	0.85767
423.10	0.77611
424.56	0.69551
426.09	0.60916
427.37	0.54071
428.80	0.46076
430.05	0.38943
431.51	0.32323
432.90	0.26661
434.22	0.21672
435.17	0.18090
436.41	0.15115
437.95	0.11917
439.19	0.10062
440.51	0.084628
442.34	0.067357
444.31	0.053285
446.14	0.042730
447.75	0.036013
449.36	0.030896
451.34	0.024274
455.00	0.017118
457.70	0.014387
459.90	0.012566
462.39	0.010354
465.02	0.0094437
467.87	0.0085331
471.02	0.0081429
474.31	0.0078827
478.04	0.0082730
481.41	0.0090534
484.92	0.010094
489.24	0.012175
492.82	0.013476
496.48	0.014517
499.92	0.015167
503.58	0.015817
507.02	0.016078
510.24	0.016988
512.72	0.018029
514.92	0.019460
516.90	0.021021
518.87	0.022321
520.92	0.024273
522.31	0.024923
523.99	0.026094
526.33	0.026614
529.19	0.025964
531.60	0.025183
534.16	0.024012
536.80	0.022191
539.58	0.021281
542.06	0.019980
544.55	0.019199
547.48	0.019199
550.70	0.019199
553.55	0.020370
556.70	0.021931
559.55	0.023492
562.84	0.026354
567.01	0.028565
571.26	0.030646
574.77	0.032728
577.84	0.034939
580.70	0.038451
584.06	0.043524
586.77	0.048987
589.33	0.053930
591.96	0.059394
594.38	0.063426
596.72	0.067198
598.91	0.069800
600.67	0.071621
602.57	0.073182
604.69	0.073832
606.96	0.073442
608.79	0.072271
610.62	0.071621
612.08	0.070580
613.77	0.069800
614.79	0.069149
615.96	0.068889
617.86	0.069540
619.33	0.070970
620.79	0.073702
621.89	0.077214
623.06	0.081637
624.16	0.087881
625.55	0.10141
627.30	0.11767
629.06	0.13939
631.06	0.18216
633.00	0.22587
634.49	0.26942
635.72	0.30251
637.24	0.33217
638.61	0.35308
639.93	0.36807
640.72	0.37431
641.60	0.37540
642.57	0.37369
643.71	0.36729
645.29	0.35262
647.92	0.31656
650.03	0.28300
651.87	0.24741
654.28	0.20760
656.79	0.17045
657.91	0.15531
659.77	0.13362
661.71	0.11473
663.90	0.094905
665.92	0.080388
667.68	0.069618
669.17	0.062281
670.49	0.054321
672.77	0.045735
675.31	0.036370
677.86	0.028097
680.32	0.022009
682.43	0.017326
685.41	0.012800
688.40	0.0088973
691.91	0.0065559
694.81	0.0051511
697.97	0.0037462
702.44	0.0028097
706.83	0.0021853
710.17	0.0017170
714.39	0.0014048
718.34	0.0012487
722.55	0.00093656
