Wavelength (nm)	CHL161_Mg Rho g7 phytyl, Et2O (Gandul-Rojas, 2013).abs
355.40	0.18856
359.77	0.18484
363.47	0.18223
365.93	0.17666
368.40	0.16959
371.31	0.15546
374.56	0.13798
378.48	0.12273
381.17	0.11567
383.19	0.11492
385.66	0.11716
389.13	0.12682
391.60	0.13501
393.75	0.14691
397.87	0.16959
401.01	0.18781
404.15	0.20715
407.40	0.23430
410.20	0.26368
412.77	0.29715
417.75	0.36818
424.88	0.48160
429.58	0.55523
432.80	0.61548
435.52	0.67312
438.77	0.76646
441.80	0.85051
444.37	0.91707
445.94	0.95315
448.18	0.98624
449.42	0.99815
451.00	1.0000
452.44	0.99815
454.01	0.98736
456.25	0.95501
458.83	0.88286
462.04	0.78692
465.78	0.65973
470.82	0.51172
473.73	0.43809
477.99	0.35479
484.94	0.23913
487.18	0.20566
490.54	0.16364
493.23	0.13129
496.59	0.10414
499.84	0.084057
503.32	0.063976
506.79	0.050960
509.85	0.043336
513.40	0.037448
517.14	0.034357
521.99	0.032833
526.10	0.034349
531.52	0.037758
537.12	0.041477
542.54	0.043956
547.86	0.045816
553.28	0.048915
558.23	0.054183
562.52	0.061001
566.07	0.066889
568.78	0.071847
571.21	0.075566
574.00	0.077116
576.90	0.075876
579.70	0.072777
582.41	0.068748
584.56	0.064100
586.89	0.057592
589.60	0.051084
592.40	0.046435
595.11	0.043026
597.45	0.041787
599.97	0.043336
603.05	0.048295
605.85	0.054493
609.49	0.066889
612.20	0.077426
614.63	0.084553
616.77	0.090751
619.11	0.095710
621.00	0.097259
623.00	0.095400
625.09	0.091371
626.95	0.085483
628.82	0.078355
630.88	0.067819
633.49	0.055422
636.20	0.043956
638.85	0.033110
641.61	0.025052
644.60	0.018544
648.15	0.012346
651.89	0.0089372
657.68	0.0052183
663.37	0.0033589
668.60	0.0022429
673.18	0.0017215
678.52	0.0014995
682.05	0.0014995
688.80	0.0014995
699.50	0.0014995
