Wavelength (nm)	CHL162_Cu Chl e6  (Chlorophyllin), aq (Hildebrandt, 1988).abs
300.05	0.21123
303.89	0.20434
307.82	0.19942
311.76	0.19696
316.22	0.19696
320.42	0.19893
324.62	0.20483
329.08	0.21221
334.06	0.22255
339.18	0.23731
344.17	0.25306
348.76	0.26929
353.22	0.28799
358.60	0.31063
362.93	0.33720
366.21	0.36525
370.41	0.40756
374.08	0.44988
377.62	0.50499
381.50	0.57339
384.84	0.63145
389.04	0.71412
392.68	0.79137
395.65	0.85681
397.96	0.91242
400.32	0.96310
402.40	0.99361
404.00	1.0000
405.50	0.99136
408.00	0.93112
410.56	0.83516
414.10	0.67131
416.98	0.49909
418.75	0.39526
420.66	0.32686
422.23	0.28848
424.86	0.24863
427.61	0.22058
431.42	0.18417
435.75	0.15563
440.34	0.13102
445.06	0.10937
450.31	0.090675
455.95	0.075913
462.12	0.066072
468.81	0.055246
475.77	0.046389
482.98	0.041469
487.84	0.041469
492.43	0.043829
494.92	0.047865
497.94	0.051802
500.43	0.053278
503.45	0.050326
507.65	0.045405
512.77	0.040539
518.54	0.035072
524.84	0.029659
529.82	0.026523
537.43	0.024739
543.60	0.025723
548.85	0.027671
556.59	0.035564
565.12	0.046389
572.46	0.058691
578.76	0.065580
585.32	0.070008
589.78	0.072961
593.33	0.075913
597.39	0.079584
600.41	0.084770
604.35	0.099532
606.84	0.11134
609.33	0.12610
611.69	0.14185
614.06	0.16252
616.42	0.18121
618.52	0.20188
621.00	0.22796
623.77	0.24313
626.00	0.24764
628.62	0.24321
631.10	0.23091
633.48	0.21418
635.84	0.18958
638.20	0.16596
640.82	0.13742
643.05	0.11626
646.33	0.095103
650.40	0.075913
655.45	0.056723
660.63	0.044421
665.36	0.035072
669.69	0.028675
675.46	0.019818
680.84	0.013539
685.17	0.0091145
689.63	0.0065323
692.78	0.0055481
696.45	0.0045056
698.95	0.0038407
