Wavelength (nm)	CHL166_Purpurin 7 TME, CHCl3 (Ma, 1996).abs
345.68	0.33740
348.60	0.35363
352.62	0.38329
356.51	0.41016
360.40	0.43702
363.74	0.46109
365.96	0.47732
368.88	0.49802
372.35	0.52041
374.71	0.53496
377.91	0.55531
380.41	0.57862
383.74	0.60884
386.11	0.63570
388.22	0.66704
390.27	0.69727
392.22	0.73140
396.25	0.79633
400.14	0.85789
401.94	0.89315
403.89	0.93065
405.15	0.95191
406.53	0.97766
408.19	0.99389
410.00	1.0000
411.53	0.99277
413.75	0.95975
416.25	0.86572
418.75	0.76051
420.42	0.67936
422.09	0.59708
423.62	0.52713
425.00	0.46444
426.39	0.40624
428.34	0.34020
430.13	0.28647
431.53	0.24282
433.06	0.21315
434.31	0.18685
435.56	0.16166
436.67	0.14543
438.06	0.12808
439.73	0.11073
441.12	0.095063
442.93	0.083310
445.01	0.071557
446.82	0.063722
448.62	0.057006
451.12	0.050290
452.93	0.045253
455.43	0.040775
459.04	0.038537
461.96	0.038537
466.13	0.039096
469.53	0.042734
473.00	0.045999
476.82	0.046932
480.53	0.048331
484.35	0.048797
487.47	0.049730
490.14	0.052062
492.80	0.055327
494.54	0.059524
496.74	0.065587
499.05	0.069319
500.79	0.073982
503.45	0.077247
505.88	0.078646
507.97	0.076781
510.05	0.072117
512.25	0.067919
514.57	0.060923
516.42	0.054860
518.62	0.050197
520.70	0.048331
522.55	0.046932
525.22	0.047398
527.53	0.050663
529.38	0.055793
530.66	0.062323
532.39	0.071650
534.25	0.080512
535.52	0.090306
537.37	0.098701
538.65	0.10663
539.80	0.11083
541.77	0.11596
543.39	0.11782
545.48	0.11456
547.44	0.10663
549.53	0.099634
551.73	0.090772
553.93	0.083777
556.13	0.074915
557.98	0.068852
560.18	0.064188
562.38	0.059524
564.23	0.055327
566.43	0.052062
569.09	0.049264
571.99	0.047398
574.53	0.045999
577.31	0.045066
579.74	0.045066
581.83	0.043201
583.91	0.038537
586.23	0.035272
588.66	0.033407
592.02	0.031075
595.72	0.030608
599.08	0.033407
602.20	0.036205
604.98	0.039936
607.76	0.045999
610.19	0.051129
612.62	0.055793
615.05	0.060923
617.60	0.065587
619.92	0.069319
623.04	0.072583
625.36	0.073516
627.91	0.074449
630.80	0.073982
633.69	0.073516
637.17	0.073982
640.41	0.074449
643.19	0.075382
646.20	0.077247
648.86	0.080045
651.06	0.082844
653.38	0.087041
655.11	0.092638
656.50	0.096835
657.89	0.10010
659.97	0.10336
661.83	0.10850
663.22	0.11743
664.66	0.13337
666.79	0.15941
669.20	0.18856
671.32	0.21926
673.44	0.24841
675.18	0.26590
676.34	0.27756
677.20	0.28806
677.88	0.29466
678.75	0.29933
680.00	0.30244
681.16	0.29933
681.93	0.29039
682.70	0.27989
683.48	0.27018
684.15	0.26474
685.21	0.26318
686.02	0.26655
686.58	0.26946
687.30	0.27303
688.27	0.27044
689.15	0.26461
690.36	0.25230
691.64	0.23675
693.57	0.21635
695.58	0.19400
697.11	0.17683
698.88	0.15870
700.41	0.14542
701.77	0.13473
703.81	0.11951
705.26	0.10882
707.00	0.097159
709.25	0.085500
711.02	0.076107
713.27	0.067686
715.52	0.058617
718.01	0.050844
720.83	0.041452
723.08	0.033355
725.41	0.027525
728.14	0.023962
732.24	0.019752
736.59	0.015217
740.93	0.012626
746.47	0.0093875
752.66	0.0077681
757.97	0.0064725
766.49	0.0061487
774.93	0.0051770
781.13	0.0042054
795.41	0.0038350
