Wavelength (nm)	CHL171_Mg Purpurin 18 ME, Et2O (Holt, 1958).abs
381.49	0.35277
384.76	0.36319
387.77	0.37823
390.32	0.39520
392.41	0.41564
394.78	0.44738
397.24	0.49047
400.88	0.56144
403.52	0.61814
404.88	0.64167
406.16	0.65671
407.43	0.66906
409.16	0.67831
410.80	0.68757
412.26	0.69837
413.53	0.71226
414.62	0.73501
416.08	0.79711
417.45	0.86616
418.99	0.93404
420.27	0.98149
421.10	0.99498
422.00	1.00000
423.09	0.99267
424.18	0.97416
425.28	0.93791
426.20	0.88853
428.30	0.74466
430.65	0.54254
432.75	0.38479
433.65	0.31883
435.29	0.23667
436.70	0.17959
438.30	0.13253
439.84	0.10013
441.57	0.075831
443.58	0.058088
446.03	0.044974
448.40	0.034560
451.59	0.026460
454.96	0.021831
458.51	0.019201
462.06	0.018075
466.06	0.016817
471.07	0.016046
476.71	0.016046
481.63	0.017974
486.09	0.021060
489.64	0.022599
493.10	0.021831
497.02	0.019131
501.39	0.018360
505.94	0.018746
511.04	0.022217
515.77	0.027617
520.50	0.032246
523.60	0.033017
527.20	0.032631
532.60	0.028388
535.40	0.025688
538.89	0.022217
542.54	0.020711
546.54	0.020199
549.55	0.021060
552.28	0.024917
554.73	0.032631
556.74	0.040731
559.20	0.051146
560.93	0.061560
562.93	0.072360
564.20	0.077760
566.02	0.080845
567.75	0.079303
569.57	0.072745
571.85	0.064645
574.67	0.056546
577.77	0.050374
581.59	0.044588
585.14	0.040731
589.79	0.037646
594.52	0.034946
597.61	0.034174
600.35	0.035331
603.62	0.040731
606.81	0.049217
610.00	0.059246
613.20	0.072745
616.64	0.085860
620.19	0.099360
623.65	0.11055
626.20	0.11595
628.75	0.11942
631.39	0.11787
634.30	0.11247
636.94	0.10476
639.95	0.095117
642.77	0.085474
644.32	0.080074
646.23	0.075445
648.05	0.074674
650.60	0.077374
653.06	0.083931
655.42	0.093188
657.43	0.10630
659.07	0.12212
660.52	0.14796
662.62	0.19540
665.53	0.27872
667.70	0.35779
669.72	0.43686
671.17	0.49086
672.36	0.52133
673.63	0.55064
675.00	0.57109
676.00	0.57494
677.00	0.57186
678.09	0.55682
679.50	0.51940
681.37	0.45344
684.10	0.34930
687.74	0.22857
690.40	0.15683
691.80	0.11903
693.30	0.090488
694.48	0.069274
696.21	0.052303
697.94	0.038417
700.31	0.024917
701.95	0.018746
703.87	0.015200
