Wavelength (nm)	CHL176_15(1)-OMe-lactone Chllide a ME, Et2O (Holt, 1958).abs
380.58	0.32210
385.09	0.36977
389.60	0.42321
393.34	0.48291
396.49	0.53491
400.32	0.61242
405.09	0.70968
407.90	0.77853
410.20	0.84064
412.66	0.91767
414.11	0.96245
415.13	0.98315
416.15	0.99712
417.00	1.0000
417.94	0.99615
419.13	0.98171
420.80	0.92345
422.62	0.81464
425.09	0.65287
428.49	0.44969
430.45	0.35291
432.15	0.28118
434.10	0.21473
436.25	0.15359
438.20	0.10833
439.90	0.083775
442.11	0.059220
445.18	0.039962
448.70	0.026481
453.60	0.015888
458.11	0.010592
463.90	0.0086664
470.54	0.0091479
478.12	0.011555
482.88	0.012518
487.05	0.013963
490.54	0.014444
496.25	0.014925
499.82	0.013963
504.42	0.018269
508.76	0.022629
512.59	0.026860
516.33	0.030332
519.91	0.032740
523.74	0.032740
527.23	0.031777
530.38	0.028406
533.78	0.023592
537.02	0.021185
540.08	0.019259
543.57	0.020222
548.85	0.022147
551.91	0.027925
555.91	0.035147
560.00	0.043332
562.10	0.045258
566.47	0.044776
570.64	0.040443
574.38	0.033221
577.70	0.028406
579.57	0.027444
582.25	0.029703
584.77	0.034184
589.19	0.046702
593.70	0.060665
598.38	0.075590
604.00	0.088590
606.04	0.091960
608.68	0.094367
611.75	0.093886
614.90	0.089071
618.64	0.079442
622.73	0.074146
625.71	0.070775
628.09	0.069331
629.88	0.069331
631.75	0.071738
633.20	0.081849
634.47	0.099182
636.69	0.15262
639.80	0.23592
642.56	0.32258
646.22	0.42754
648.09	0.48628
649.71	0.52480
651.03	0.54919
652.00	0.55176
652.80	0.54879
653.94	0.53956
655.70	0.50105
657.48	0.44086
658.76	0.37546
660.15	0.31769
661.74	0.26071
663.37	0.21618
665.07	0.17124
666.92	0.12711
668.48	0.10223
670.53	0.073343
672.31	0.053683
674.65	0.036431
676.35	0.024394
677.91	0.019178
679.19	0.015567
