Wavelength (nm)	CHL178_13(2),17(3)-Cyclo Phebide a enol, DCM (Falk, 1975).abs
300.10	0.26775
301.56	0.25940
304.68	0.25568
308.13	0.25661
311.02	0.26218
313.92	0.26960
317.25	0.28909
320.26	0.31322
323.26	0.34385
326.60	0.36612
329.50	0.38190
332.61	0.40139
335.39	0.42738
338.62	0.47100
341.96	0.53225
345.30	0.59722
348.41	0.67610
351.53	0.76427
354.09	0.85337
356.09	0.90998
358.21	0.96659
359.65	0.99444
361.00	1.0000
362.44	0.99536
364.22	0.96752
367.22	0.90441
370.11	0.83388
372.45	0.77170
375.90	0.70023
379.13	0.65383
382.47	0.62784
386.03	0.61578
389.14	0.61021
392.26	0.61856
395.26	0.63434
398.49	0.66961
401.72	0.71230
404.50	0.76149
406.73	0.79397
408.73	0.82088
411.18	0.83759
414.52	0.85430
417.63	0.87007
420.97	0.89699
422.86	0.92483
424.87	0.95082
426.65	0.97216
428.30	0.97773
430.10	0.97216
431.99	0.94896
434.33	0.89977
437.11	0.82924
440.22	0.73921
443.56	0.67703
445.23	0.65290
447.01	0.64084
449.68	0.64733
451.24	0.65661
452.80	0.66404
454.36	0.67054
456.69	0.66404
458.36	0.64919
460.48	0.61021
462.59	0.54246
466.04	0.40696
468.71	0.32343
473.75	0.16659
477.06	0.096981
481.51	0.055217
484.85	0.037584
488.74	0.031087
493.97	0.029231
498.81	0.029463
506.14	0.030159
513.56	0.032479
522.28	0.034799
530.53	0.037893
537.21	0.041760
543.14	0.044563
551.40	0.047174
560.30	0.051814
567.44	0.055681
573.19	0.061868
577.18	0.065728
582.83	0.068829
587.66	0.069588
593.68	0.070376
598.88	0.069602
603.05	0.073469
607.04	0.078883
610.75	0.087391
613.90	0.095125
617.98	0.10750
621.23	0.12016
624.38	0.12915
626.88	0.13457
629.02	0.13534
632.17	0.13302
634.86	0.12868
638.10	0.12142
641.35	0.11214
644.32	0.10750
647.47	0.10363
650.81	0.10152
654.98	0.10518
658.23	0.11059
660.64	0.11755
663.24	0.12297
665.83	0.13534
667.96	0.15158
670.00	0.17324
672.23	0.20649
674.64	0.24748
677.52	0.30394
679.40	0.34880
681.60	0.39984
683.73	0.44702
684.94	0.47022
686.60	0.48879
688.00	0.49575
689.55	0.49033
690.96	0.47873
692.38	0.45553
694.39	0.41763
696.95	0.34107
699.77	0.25522
702.18	0.18329
704.41	0.13534
706.91	0.091258
709.79	0.058775
712.76	0.034790
715.63	0.020288
718.88	0.012371
721.66	0.0068183
725.00	0.0038232
727.87	0.0017452
730.38	0.0015431
735.00	0.0015431
749.50	0.0015431
