Wavelength (nm)	CHL179_13(2),17(3)-Cyclo Phebide a enol, Pyr (Falk, 1975).abs
332.04	0.38126
334.55	0.39849
336.49	0.41624
338.45	0.43622
340.93	0.46898
343.41	0.50966
345.54	0.54982
347.74	0.59948
350.85	0.66659
352.87	0.72207
354.83	0.78125
357.43	0.86420
358.87	0.91123
360.43	0.94557
361.64	0.97727
362.97	0.99577
364.00	1.00000
365.16	0.99735
366.60	0.98679
367.98	0.96354
369.43	0.93818
371.21	0.90013
374.68	0.82140
376.81	0.76857
378.60	0.73052
380.33	0.69671
382.46	0.66817
384.71	0.64176
386.62	0.62855
388.29	0.62115
389.62	0.61586
390.77	0.61217
392.33	0.61058
393.71	0.61322
395.39	0.61903
396.60	0.62643
398.56	0.64281
400.98	0.66765
403.00	0.69776
404.73	0.72894
406.52	0.75800
408.14	0.78178
409.52	0.80080
411.19	0.81929
412.92	0.83408
415.12	0.84677
416.79	0.85628
418.75	0.86579
420.48	0.87794
422.16	0.89326
423.71	0.90753
425.16	0.92866
426.37	0.94874
427.46	0.96618
428.67	0.97992
429.77	0.98996
431.00	0.99313
432.25	0.99048
433.58	0.97886
435.42	0.94716
437.79	0.89485
439.52	0.85046
441.60	0.79604
443.79	0.74637
444.94	0.71995
446.04	0.70358
447.77	0.69089
449.21	0.68720
450.71	0.69089
452.33	0.69829
453.54	0.70622
454.35	0.71520
455.96	0.72841
457.23	0.73105
458.50	0.72524
459.94	0.71044
461.27	0.69089
462.77	0.65761
464.50	0.60583
466.92	0.50702
470.56	0.36541
472.35	0.29038
474.31	0.23068
476.44	0.16939
478.00	0.13557
479.85	0.10387
481.63	0.083260
483.65	0.065295
485.27	0.053670
487.52	0.045216
490.00	0.040989
492.42	0.037291
495.77	0.035177
499.11	0.034955
502.34	0.035017
505.52	0.034649
511.69	0.035177
517.34	0.036762
523.00	0.037819
528.82	0.039404
534.48	0.042046
540.25	0.043631
545.67	0.044836
551.15	0.046273
557.15	0.049972
562.75	0.053670
568.69	0.057897
573.25	0.060539
578.09	0.063477
581.90	0.066352
585.99	0.068993
590.38	0.071216
597.19	0.073220
601.92	0.076391
605.09	0.079033
607.97	0.082731
611.03	0.088015
613.74	0.095412
616.17	0.10228
618.47	0.11179
620.61	0.12131
622.51	0.12971
624.70	0.13610
626.32	0.13927
627.70	0.14191
630.42	0.14455
632.67	0.14297
634.74	0.13874
636.76	0.13424
639.07	0.12918
641.61	0.12342
643.92	0.11866
646.68	0.11338
649.63	0.11021
653.03	0.11021
655.51	0.11074
657.59	0.11338
659.32	0.11760
661.97	0.12236
663.82	0.13081
666.01	0.14032
668.09	0.15406
670.28	0.17097
672.13	0.19211
673.63	0.21218
675.36	0.23755
677.20	0.26819
679.00	0.30941
681.13	0.37281
683.20	0.42142
684.64	0.46052
686.26	0.49645
687.82	0.52287
689.03	0.53397
690.00	0.53714
691.25	0.53291
692.70	0.52128
693.93	0.50491
695.43	0.46475
698.43	0.38021
700.62	0.30201
703.22	0.22645
704.78	0.18365
705.76	0.15248
707.37	0.11972
708.76	0.095941
710.61	0.073749
712.57	0.054199
714.24	0.040461
716.26	0.029365
718.34	0.018798
720.41	0.014042
722.43	0.0082300
724.68	0.0050597
727.28	0.0029462
729.87	0.0018895
731.95	0.0018895
735.00	0.0018895
749.50	0.0018895
