Wavelength (nm)	CHL181_13(2)-Oxo PyroPhebide a ME, DCM (Kozyrev, 1998).abs
352.30	0.53292
360.25	0.59566
365.10	0.64795
370.45	0.69814
375.40	0.77658
379.80	0.84687
382.75	0.89878
385.42	0.94514
387.85	0.98277
388.75	0.99288
390.00	1.00000
391.00	0.99827
392.10	0.99163
393.99	0.97769
396.71	0.94562
398.26	0.92156
399.80	0.91021
401.56	0.90379
405.44	0.89822
408.80	0.88985
410.00	0.88650
411.25	0.87521
413.10	0.82223
415.21	0.74903
417.97	0.66398
422.89	0.57126
428.90	0.47715
435.69	0.39768
439.57	0.35376
445.00	0.30217
452.37	0.24012
459.35	0.19411
469.82	0.14113
479.13	0.10209
483.01	0.093726
487.28	0.084663
491.16	0.085360
496.59	0.095817
500.66	0.10349
505.90	0.10697
512.30	0.11046
519.67	0.10279
527.04	0.091634
533.82	0.079783
539.84	0.070720
548.95	0.054686
557.10	0.044229
562.72	0.037955
568.34	0.032586
575.49	0.028079
582.11	0.025174
590.20	0.025755
596.82	0.028660
603.61	0.032307
612.50	0.035050
618.96	0.039698
626.88	0.046088
634.15	0.051898
641.91	0.061774
648.70	0.072812
653.39	0.086443
657.75	0.11290
660.34	0.14194
662.28	0.17506
664.45	0.21572
667.00	0.26975
669.50	0.32436
672.85	0.37955
675.37	0.40569
678.00	0.41266
680.50	0.40627
683.42	0.37955
686.50	0.33075
689.75	0.27556
693.10	0.21689
696.83	0.16576
702.28	0.11464
708.18	0.080945
713.67	0.053641
719.49	0.032984
725.63	0.018762
731.93	0.011232
739.53	0.0060031
744.86	0.0030984
749.06	0.0015355
755.85	0.00070000
761.67	0.00070000
