Wavelength (nm)	CHL185_BChl c, Et2O (Stanier, 1960).abs
399.58	0.41522
401.44	0.42870
402.89	0.44987
404.44	0.48068
406.41	0.51341
407.66	0.53603
409.11	0.55143
410.97	0.55721
413.46	0.55432
415.22	0.54903
417.39	0.54470
418.95	0.55095
420.09	0.56684
421.85	0.59379
423.19	0.62845
424.54	0.66551
426.00	0.72375
427.34	0.79065
428.48	0.86285
429.31	0.91965
430.20	0.97019
431.17	0.99377
432.00	1.0000
432.72	0.99377
433.35	0.97067
435.10	0.84119
437.80	0.62026
439.98	0.42244
441.53	0.28478
442.46	0.22461
443.70	0.17167
444.95	0.13364
446.71	0.098988
448.78	0.069146
450.44	0.048930
453.00	0.034009
455.20	0.027271
458.93	0.020051
462.77	0.017163
467.01	0.015719
473.12	0.015238
482.65	0.015719
493.84	0.017163
504.10	0.019088
514.35	0.022939
526.89	0.029196
535.80	0.033528
546.98	0.037379
555.17	0.038341
563.25	0.039785
568.94	0.043636
575.47	0.050856
581.79	0.059548
587.80	0.068183
595.05	0.079735
601.78	0.090806
608.10	0.10428
613.90	0.11776
617.84	0.12498
620.95	0.12835
624.57	0.12835
627.78	0.12257
630.48	0.11343
632.86	0.10525
635.45	0.097063
637.93	0.095138
640.21	0.10043
642.60	0.10910
644.36	0.11920
646.12	0.13268
648.09	0.15482
649.64	0.19381
650.88	0.25301
652.60	0.33676
654.20	0.41763
655.75	0.50860
656.89	0.56876
657.85	0.61208
658.95	0.64289
660.00	0.64626
660.83	0.64192
661.97	0.61641
664.14	0.53796
666.11	0.45421
668.49	0.34880
670.05	0.27467
672.05	0.21162
673.60	0.17696
675.64	0.13942
677.51	0.11439
679.27	0.093212
681.13	0.074922
682.69	0.066258
685.48	0.055188
688.38	0.047005
691.39	0.042192
694.81	0.038822
698.33	0.039304
