Wavelength (nm)	CHL186_BChl c, Et2O (Pierson, 1974).abs
343.00	0.16097
344.18	0.15781
345.15	0.15417
346.23	0.15102
347.40	0.14859
348.67	0.14762
350.03	0.14908
351.50	0.15320
352.96	0.15927
354.43	0.16461
355.80	0.16897
357.16	0.17387
358.87	0.17811
360.50	0.18256
362.13	0.18560
364.00	0.18944
365.95	0.19409
367.90	0.19935
369.37	0.20400
371.00	0.20885
372.14	0.21391
373.52	0.22018
375.07	0.22806
376.61	0.23636
377.83	0.24566
379.05	0.25395
380.27	0.26143
381.66	0.27094
382.80	0.27842
383.69	0.28651
384.83	0.29358
385.97	0.30006
387.03	0.30531
388.33	0.31017
389.71	0.31522
391.34	0.31826
392.89	0.32028
394.35	0.32291
395.73	0.32614
396.96	0.33120
398.01	0.33706
399.15	0.34434
400.21	0.35466
401.19	0.36841
401.92	0.38539
403.06	0.40380
404.28	0.42402
405.26	0.43959
406.39	0.46082
407.62	0.47397
408.67	0.48590
409.73	0.49702
410.71	0.50329
411.77	0.50754
413.23	0.50814
415.10	0.50895
416.73	0.51057
418.03	0.51360
418.52	0.51826
420.23	0.53565
421.61	0.56032
423.57	0.61840
425.31	0.72984
427.00	0.85844
427.70	0.91959
428.67	0.96202
429.67	0.98913
431.00	1.0000
432.34	0.98878
433.19	0.96395
434.06	0.92413
434.87	0.85948
435.68	0.77911
436.56	0.71167
437.26	0.65331
437.97	0.59600
438.66	0.53310
439.40	0.46706
440.25	0.39507
441.34	0.32064
442.18	0.25704
443.03	0.20183
443.72	0.16269
444.19	0.13229
444.95	0.10608
445.98	0.087564
446.97	0.067296
447.95	0.050523
449.08	0.039340
450.22	0.033225
451.28	0.028275
452.92	0.024198
454.68	0.020703
456.79	0.017500
459.01	0.014588
461.36	0.012695
463.99	0.011482
466.82	0.010511
469.85	0.010269
472.78	0.010269
476.00	0.010754
479.52	0.010997
484.01	0.011725
487.72	0.012695
492.41	0.013666
496.41	0.014879
500.71	0.016335
506.18	0.016821
512.23	0.017063
516.72	0.016821
519.46	0.017549
522.00	0.018034
524.05	0.019247
526.29	0.020461
528.05	0.021917
530.49	0.022645
533.81	0.023615
537.42	0.024101
541.62	0.023858
545.82	0.023858
550.02	0.024829
553.93	0.025314
557.93	0.026527
561.25	0.027741
564.18	0.029925
567.01	0.031866
569.94	0.033808
572.19	0.035749
574.24	0.036962
576.19	0.038418
578.24	0.040117
580.29	0.041573
582.34	0.043757
584.10	0.046426
585.66	0.048610
587.32	0.051280
588.98	0.054920
590.84	0.057589
592.79	0.059530
594.55	0.060986
596.50	0.062685
598.36	0.064384
600.41	0.067296
602.26	0.070208
604.02	0.073363
605.58	0.076032
607.34	0.080157
608.90	0.083312
610.08	0.086224
611.64	0.088408
613.10	0.090107
614.96	0.090835
616.62	0.092291
617.99	0.095203
619.26	0.098115
620.72	0.10127
621.99	0.10491
623.26	0.10855
624.53	0.11025
625.80	0.10879
626.87	0.10491
627.85	0.10006
629.22	0.094717
630.78	0.089136
632.05	0.082827
633.51	0.078701
634.68	0.075061
635.95	0.072877
637.42	0.071664
638.98	0.072635
640.25	0.075547
641.13	0.080400
641.81	0.086224
642.89	0.096173
644.16	0.10928
645.43	0.12772
646.50	0.14495
648.75	0.18281
650.13	0.21557
651.72	0.25925
652.83	0.30736
653.67	0.34755
654.66	0.39193
655.36	0.43142
656.34	0.48174
657.48	0.54743
658.56	0.59915
659.16	0.61078
660.00	0.61686
660.98	0.61348
661.74	0.59810
662.93	0.56770
664.22	0.51598
665.15	0.45727
665.93	0.41290
667.03	0.35139
668.15	0.29374
669.31	0.22769
670.25	0.18436
671.11	0.15151
671.81	0.12705
672.94	0.099794
673.55	0.084525
674.04	0.071179
674.72	0.059045
675.79	0.047640
676.77	0.039632
677.85	0.032837
679.11	0.026285
680.87	0.021431
682.34	0.016821
684.39	0.012938
686.44	0.0095406
689.17	0.0075992
692.30	0.0059006
695.72	0.0051725
699.62	0.0046576
703.92	0.0044445
707.73	0.0042884
711.44	0.0042019
715.15	0.0039592
719.35	0.0039592
724.42	0.0039591
729.01	0.0039592
733.21	0.0039592
737.22	0.0038759
741.71	0.0038759
745.03	0.0038759
749.91	0.0038759
