Wavelength (nm)	CHL188_BChl c, Pyr (Niedzwiedzki, 2010).abs
351.41	0.25811
354.14	0.24594
357.68	0.23000
361.09	0.22035
364.89	0.21364
368.41	0.21119
371.45	0.21028
374.86	0.21280
378.30	0.22063
381.02	0.23322
384.20	0.25105
386.59	0.27063
389.20	0.29161
391.70	0.31434
394.32	0.33741
397.50	0.36399
399.66	0.37867
402.61	0.39196
405.11	0.40524
407.84	0.41888
410.23	0.44126
412.84	0.46888
415.00	0.49895
417.73	0.53636
420.80	0.57552
423.18	0.60498
425.57	0.63401
426.82	0.64441
428.30	0.65420
430.11	0.66833
431.48	0.68671
433.52	0.72622
435.57	0.78776
437.27	0.84406
439.55	0.90629
441.10	0.94895
442.70	0.97937
443.86	0.99720
445.00	1.0000
446.02	0.99650
446.85	0.98357
448.07	0.95839
449.43	0.90559
450.68	0.83112
452.39	0.71084
454.32	0.56364
456.25	0.40594
458.75	0.23706
460.11	0.16678
461.25	0.12552
462.50	0.090909
463.64	0.072378
464.89	0.056643
466.05	0.044755
467.75	0.034615
469.66	0.026224
472.16	0.019930
475.34	0.016783
480.23	0.016434
487.27	0.016783
495.11	0.017483
501.59	0.018182
508.75	0.018792
516.70	0.019580
524.55	0.020979
533.07	0.022378
540.45	0.024730
547.27	0.027273
552.16	0.030070
557.05	0.031119
562.50	0.031818
568.18	0.032518
573.52	0.033566
577.84	0.036014
581.48	0.039161
585.28	0.044347
588.88	0.051049
592.58	0.059207
596.55	0.068823
600.44	0.077564
604.13	0.085723
607.44	0.095338
610.85	0.10350
613.98	0.11020
616.34	0.11428
618.52	0.11603
620.70	0.11457
622.97	0.10991
625.10	0.10670
627.00	0.10427
629.13	0.10291
631.18	0.10403
633.15	0.10816
635.05	0.11471
636.86	0.12176
638.44	0.13001
640.26	0.14191
642.54	0.15988
645.15	0.18076
647.59	0.20334
650.28	0.23078
653.51	0.26744
656.67	0.30945
658.09	0.33252
659.62	0.36836
661.70	0.44965
664.17	0.57086
665.78	0.64458
667.58	0.71655
668.20	0.73811
669.00	0.75427
670.00	0.75997
671.00	0.75413
672.05	0.73578
673.80	0.64895
676.55	0.47675
678.94	0.31970
680.64	0.22704
681.78	0.17955
682.82	0.14312
683.86	0.11777
685.00	0.096212
685.95	0.077564
687.18	0.061538
688.50	0.047552
689.92	0.035897
691.63	0.027156
693.14	0.020746
695.04	0.015210
697.22	0.010839
700.06	0.0076340
703.47	0.0058858
707.44	0.0044289
712.27	0.0032972
718.52	0.0024897
724.49	0.0023893
730.36	0.0023893
736.33	0.0023893
741.53	0.0023893
