Wavelength (nm)	CHL190_BChl c [E,E], Et2O (Tamiaki, 2011b).ems
600.01	0.00023880
602.06	0.00028143
604.11	0.00041698
606.92	0.00044846
610.40	0.0010747
613.69	0.0017010
616.55	0.0023324
619.69	0.0032668
622.36	0.0046395
625.51	0.0055346
628.27	0.0061979
630.75	0.0067381
632.99	0.0076508
635.03	0.0082771
636.99	0.0095296
639.18	0.011409
641.42	0.015166
643.18	0.020490
644.85	0.028005
646.03	0.034894
647.47	0.045541
648.62	0.056814
649.57	0.071845
650.38	0.087189
651.00	0.10379
651.62	0.12289
652.38	0.14951
653.14	0.18834
653.71	0.22654
654.29	0.26537
655.25	0.33896
656.76	0.46954
658.15	0.62768
659.40	0.76233
660.24	0.83466
661.00	0.90043
661.92	0.95679
662.62	0.98779
663.15	0.99750
663.80	1.0000
664.34	0.99719
664.77	0.98779
665.44	0.96024
666.29	0.91107
667.58	0.82934
669.15	0.71755
671.06	0.57100
672.25	0.49334
673.49	0.42789
674.35	0.38405
675.49	0.33426
676.63	0.29606
677.63	0.26067
678.78	0.23155
679.68	0.20900
680.49	0.19115
681.59	0.17205
682.97	0.15232
684.26	0.13761
685.31	0.12665
686.78	0.11443
688.59	0.10379
691.31	0.091887
694.22	0.085624
696.88	0.082805
699.36	0.080927
701.74	0.080300
704.46	0.079361
706.84	0.079987
708.89	0.081303
711.23	0.084371
713.32	0.088755
715.47	0.094392
717.23	0.097523
719.66	0.10285
721.09	0.10347
722.66	0.10191
724.52	0.097836
726.57	0.093452
728.62	0.089068
730.76	0.085311
733.14	0.080927
735.15	0.077795
737.24	0.073724
739.24	0.068401
741.53	0.059633
744.06	0.050865
746.87	0.041470
749.15	0.035301
751.44	0.028631
754.16	0.023253
756.97	0.018599
759.59	0.015341
762.54	0.012676
765.45	0.010837
769.26	0.0091385
772.60	0.0083106
776.08	0.0079901
779.36	0.0076508
782.18	0.0076508
784.99	0.0076508
