Wavelength (nm)	CHL191_BChl c [E,E], THF (Kinoshita, 2019).ems
600.00	0.0023935
609.50	0.0023935
614.47	0.0024539
619.33	0.0032647
624.15	0.0043494
628.31	0.0065184
631.01	0.0083145
633.75	0.011489
636.14	0.014653
638.49	0.018991
640.54	0.023330
642.00	0.027126
643.65	0.031464
645.28	0.038514
646.51	0.045021
647.79	0.053156
648.87	0.062917
649.95	0.075932
650.99	0.092743
651.76	0.11010
652.61	0.13613
653.34	0.16107
654.23	0.20066
655.19	0.25489
656.35	0.33623
657.16	0.41161
657.93	0.48916
658.62	0.56291
659.28	0.63775
660.09	0.71638
660.78	0.77712
661.65	0.84924
662.25	0.89805
662.79	0.93492
663.25	0.96149
663.75	0.97993
664.44	0.99457
665.00	1.00000
665.83	0.99403
666.25	0.98264
666.95	0.95336
667.53	0.92082
668.34	0.87636
668.92	0.84056
669.88	0.77332
671.00	0.69523
671.89	0.62690
672.97	0.56128
673.70	0.51085
674.47	0.47018
675.13	0.43656
676.05	0.39372
677.13	0.35250
678.25	0.31129
679.48	0.27224
680.72	0.23916
681.95	0.21151
683.22	0.18710
685.04	0.16270
686.23	0.14697
687.77	0.13504
689.35	0.12203
690.78	0.11443
692.44	0.10793
694.37	0.10413
696.68	0.10088
699.46	0.099793
702.23	0.10003
705.05	0.10013
707.63	0.10059
711.18	0.10196
713.53	0.10523
715.92	0.11064
718.50	0.11769
720.25	0.12040
723.21	0.12257
725.41	0.12189
727.60	0.11823
729.88	0.11389
732.40	0.10793
734.55	0.10316
736.17	0.098500
737.44	0.094912
739.37	0.089489
741.30	0.082440
743.30	0.074847
745.58	0.064544
747.70	0.055325
749.70	0.047191
751.94	0.041225
754.06	0.035802
756.87	0.030922
759.61	0.026041
762.54	0.022788
765.74	0.020618
768.37	0.019534
771.30	0.018275
774.11	0.017259
776.81	0.016280
779.86	0.015737
782.67	0.015757
785.45	0.015737
