Wavelength (nm)	CHL193_BChl d, Ace (Gloe, 1975).abs
318.27	0.56218
321.31	0.58588
324.15	0.60401
326.43	0.62353
328.52	0.64096
330.23	0.65142
332.70	0.66118
334.97	0.65839
336.68	0.65560
339.15	0.66118
341.81	0.66954
344.84	0.68209
349.02	0.70091
355.47	0.72601
361.55	0.75250
366.29	0.77621
370.28	0.79642
374.27	0.81664
378.25	0.83756
380.15	0.84828
383.00	0.86056
386.42	0.86893
388.88	0.87590
391.73	0.88566
394.16	0.89975
396.67	0.91494
398.75	0.92889
401.41	0.93795
404.07	0.94283
406.92	0.94004
409.57	0.93655
412.04	0.93725
414.13	0.94353
416.03	0.95329
417.74	0.96514
419.44	0.97560
421.72	0.99372
424.00	1.00000
425.71	0.99233
427.23	0.97699
428.75	0.95189
431.02	0.90309
433.77	0.82571
435.51	0.76714
437.29	0.71904
439.57	0.67163
442.98	0.60401
446.40	0.54335
449.63	0.48549
453.04	0.43390
455.70	0.39486
457.79	0.36209
460.45	0.31957
463.10	0.29028
465.38	0.26588
467.47	0.24427
470.51	0.22405
472.97	0.20593
475.06	0.19059
477.72	0.17456
480.19	0.15782
483.03	0.14458
485.88	0.13412
488.92	0.12436
492.72	0.11530
496.89	0.10763
501.83	0.10484
506.38	0.10275
510.94	0.10275
514.73	0.10275
518.91	0.10554
522.71	0.10902
525.55	0.11460
529.16	0.12227
532.58	0.12506
539.22	0.12575
543.59	0.12506
548.71	0.12018
553.27	0.11878
558.20	0.11739
562.76	0.11878
566.75	0.11948
569.78	0.12087
573.20	0.11948
577.38	0.11669
580.79	0.11530
584.59	0.11739
587.63	0.12297
590.28	0.13063
593.51	0.14109
597.31	0.15225
600.72	0.15852
604.71	0.16270
607.75	0.16480
610.78	0.16270
613.25	0.15713
616.10	0.15155
619.90	0.14527
622.55	0.14039
625.02	0.13900
628.25	0.14109
629.96	0.14737
631.85	0.16340
633.94	0.18501
636.98	0.23451
639.64	0.30144
641.38	0.34745
643.05	0.40532
644.57	0.45621
646.09	0.49665
647.42	0.53290
648.50	0.56078
649.43	0.57752
650.08	0.59006
651.47	0.60331
654.00	0.61098
656.91	0.60098
659.55	0.58379
661.30	0.56427
663.96	0.53220
666.02	0.49107
668.30	0.43320
670.39	0.37255
672.86	0.30981
674.75	0.26170
676.65	0.21429
678.74	0.16689
681.21	0.12645
682.54	0.099262
684.24	0.077650
685.76	0.058130
688.04	0.045581
690.70	0.035123
694.31	0.026060
700.00	0.012814
704.75	0.0079338
709.68	0.0058423
714.81	0.0051728
720.88	0.0045678
728.28	0.0042756
736.07	0.0039345
743.09	0.0037508
750.11	0.0037508
755.81	0.0037508
759.50	0.0037508
