Wavelength (nm)	CHL194_BChl d, Pyr (Niedzwiedzki, 2010).ems
600.48	0.00080000
605.27	0.00087886
609.49	0.0011454
615.06	0.0025897
619.08	0.0037451
623.30	0.0063447
627.04	0.0089444
630.21	0.014721
633.66	0.021365
636.82	0.029742
639.60	0.038407
642.00	0.049095
643.92	0.062382
645.36	0.079424
646.95	0.10715
648.40	0.14239
649.78	0.18861
651.71	0.28624
653.50	0.39023
655.96	0.59185
657.60	0.72790
659.25	0.86481
660.24	0.92720
661.46	0.98161
662.20	0.99517
663.00	1.00000
663.80	0.99559
664.50	0.98270
665.50	0.93558
667.48	0.79751
669.19	0.66117
671.48	0.49884
672.90	0.39629
674.25	0.33333
675.95	0.26053
678.64	0.19612
680.50	0.16117
681.90	0.14470
684.01	0.12477
686.21	0.11322
687.94	0.10658
690.62	0.10051
693.59	0.096467
696.47	0.093289
699.63	0.090978
702.80	0.090401
706.73	0.089534
710.08	0.092711
712.39	0.097044
715.36	0.099644
718.23	0.099644
721.49	0.097044
724.18	0.093289
727.53	0.086357
730.70	0.076536
734.63	0.063249
739.42	0.051406
743.35	0.039274
747.18	0.030031
751.02	0.023965
755.14	0.017899
758.59	0.012699
762.52	0.0092333
767.03	0.0075002
771.82	0.0075002
777.77	0.0069225
788.99	0.0069225
