Wavelength (nm)	CHL199_BChl e, Pyr (Niedzwiedzki, 2010).abs
350.26	0.23164
354.74	0.21447
359.07	0.19394
363.28	0.17621
367.51	0.16364
372.37	0.15387
378.59	0.14305
383.45	0.13223
391.16	0.11722
399.00	0.10046
402.39	0.091911
405.29	0.082602
408.19	0.075621
411.45	0.070792
414.19	0.069046
417.18	0.071490
420.04	0.075330
422.53	0.080915
425.21	0.088129
427.69	0.097728
429.98	0.10907
432.36	0.12449
435.58	0.15183
438.48	0.18703
440.87	0.22019
443.46	0.25423
445.85	0.28419
447.61	0.30339
449.79	0.31852
451.76	0.33539
453.42	0.34819
455.29	0.36273
457.15	0.37757
458.92	0.40288
460.55	0.44069
462.35	0.49480
465.28	0.61377
468.33	0.76824
469.70	0.84015
471.15	0.91345
472.92	0.98047
473.75	0.99583
475.00	1.0000
476.55	0.99583
477.92	0.98187
480.16	0.91694
482.28	0.83421
486.00	0.70296
490.10	0.56298
494.22	0.43138
497.96	0.30432
500.57	0.21007
502.56	0.15736
504.43	0.11687
506.05	0.084405
507.54	0.067301
509.41	0.052640
511.75	0.040422
514.26	0.032743
517.38	0.026111
521.73	0.023318
526.75	0.022678
531.73	0.022387
537.02	0.022387
540.86	0.022969
544.39	0.025587
548.64	0.029950
552.48	0.034605
555.69	0.036932
559.53	0.040132
564.09	0.040713
568.76	0.041004
573.53	0.040422
577.68	0.039259
581.62	0.038095
584.63	0.039550
587.74	0.042750
591.27	0.046240
594.38	0.053222
597.49	0.059621
600.09	0.066312
602.47	0.071257
605.38	0.077075
607.97	0.081147
610.46	0.082311
612.85	0.081438
615.23	0.077657
618.45	0.073002
620.83	0.068930
623.22	0.064567
626.12	0.059912
628.82	0.057294
631.83	0.056422
634.52	0.057294
637.01	0.061949
639.09	0.067476
640.44	0.074748
641.80	0.083475
643.55	0.095401
646.04	0.11518
648.53	0.14398
651.43	0.17801
654.13	0.20885
657.03	0.23823
658.38	0.24841
660.00	0.25016
661.08	0.24841
662.22	0.24143
663.90	0.22718
666.06	0.20390
668.55	0.17336
670.90	0.13933
673.53	0.10529
675.70	0.083184
677.99	0.062530
680.27	0.045949
682.25	0.034314
685.04	0.024132
687.10	0.018606
689.81	0.014242
692.51	0.0098787
696.03	0.0072607
699.35	0.0049335
703.29	0.0032477
707.55	0.0020246
712.84	0.0011519
717.50	0.0011519
722.17	0.0011519
