Wavelength (nm)	CHL199_BChl e, Pyr (Niedzwiedzki, 2010).ems
565.03	0.0015840
575.30	0.0018780
588.06	0.0018780
598.01	0.0033485
603.93	0.0051130
608.39	0.0057011
612.64	0.0071716
616.79	0.0086420
621.04	0.011583
625.29	0.015700
628.51	0.020111
630.90	0.025111
633.49	0.030992
635.67	0.040403
637.95	0.050402
640.33	0.064224
641.89	0.082457
644.38	0.10951
647.18	0.14568
648.50	0.17509
650.91	0.26391
654.55	0.42418
658.00	0.58975
661.29	0.75826
663.47	0.85943
665.13	0.92236
667.60	0.98529
669.07	0.99823
670.00	1.00000
670.93	0.99735
672.18	0.98500
675.39	0.91442
679.25	0.81531
684.40	0.65268
689.19	0.52446
692.72	0.44506
696.76	0.37066
700.60	0.32978
702.57	0.31390
704.44	0.30096
708.07	0.28890
710.56	0.28361
713.36	0.28126
715.95	0.28390
717.40	0.28979
718.65	0.29508
720.83	0.30596
722.17	0.31365
725.08	0.32651
726.95	0.33008
728.71	0.33155
731.20	0.32919
734.00	0.32331
737.21	0.30920
740.43	0.29184
744.79	0.26361
748.83	0.23156
755.06	0.18597
758.90	0.15715
763.15	0.13216
767.30	0.10775
770.51	0.090397
772.69	0.079810
776.11	0.071282
779.85	0.062753
783.58	0.054225
788.35	0.047461
792.29	0.043050
796.65	0.039521
800.59	0.035404
804.53	0.032463
809.30	0.029522
813.45	0.029522
