Wavelength (nm)	CHL205_BChl f [E,M], Et2O (Tamiaki, 2011b).ems
600.16	0.0013375
602.59	0.0018779
605.30	0.0040792
607.92	0.0061010
610.40	0.0083627
612.78	0.011605
614.55	0.014848
616.31	0.020792
618.17	0.029438
619.93	0.042408
621.26	0.057539
622.36	0.075372
623.60	0.099690
624.79	0.13374
625.74	0.17048
626.89	0.22398
627.51	0.26667
628.41	0.33909
629.94	0.46500
631.27	0.61037
632.70	0.75682
633.94	0.86868
634.89	0.93353
635.75	0.97784
636.35	0.99513
637.00	1.00000
637.66	0.99351
638.13	0.97730
639.04	0.94109
640.61	0.84760
642.13	0.73412
643.66	0.60929
644.66	0.54498
645.76	0.48391
646.95	0.42069
648.38	0.36340
649.66	0.31423
650.95	0.27154
652.33	0.23479
653.67	0.20669
655.33	0.17805
657.05	0.15697
659.19	0.13698
661.43	0.12455
664.01	0.11860
666.63	0.11374
669.53	0.11104
672.06	0.10834
675.01	0.10563
678.20	0.10408
681.11	0.10780
683.40	0.11536
685.59	0.12347
687.88	0.13265
689.21	0.13752
690.98	0.14292
693.02	0.14640
695.03	0.14562
697.41	0.14184
699.60	0.13752
701.84	0.12995
703.79	0.11968
706.18	0.10617
709.56	0.087261
712.56	0.069968
715.32	0.055377
718.37	0.044207
721.09	0.036463
723.85	0.031157
727.40	0.025115
730.29	0.021332
733.80	0.018438
737.86	0.016469
741.39	0.015388
745.06	0.014307
748.73	0.013220
752.68	0.012686
757.97	0.012407
763.45	0.012146
768.07	0.011978
