Wavelength (nm)	CHL206_BPhe c, Et2O (Stanier, 1960).abs
401.35	0.88583
402.25	0.90704
403.10	0.92966
404.78	0.96539
406.04	0.98604
406.95	0.99658
408.00	1.00000
409.10	0.99638
410.40	0.97990
413.12	0.90704
415.87	0.80387
419.44	0.68094
425.45	0.46669
429.49	0.31716
432.31	0.22350
434.63	0.15597
436.45	0.11376
438.57	0.082409
440.99	0.057889
442.80	0.041810
444.21	0.033369
446.23	0.025732
448.85	0.019885
452.59	0.016486
457.02	0.014878
462.27	0.014878
466.30	0.016486
469.73	0.019300
472.25	0.025732
476.09	0.031761
480.93	0.036585
485.77	0.034977
489.70	0.032163
493.23	0.032565
496.76	0.038996
499.89	0.046232
502.92	0.055477
506.04	0.068340
509.07	0.079997
511.19	0.087634
513.31	0.091252
515.63	0.088036
519.46	0.073566
522.48	0.059497
524.90	0.051457
527.22	0.046232
529.75	0.045026
532.37	0.048644
534.08	0.051457
537.11	0.065124
538.72	0.077183
540.44	0.094066
541.95	0.12019
543.16	0.13466
543.97	0.14311
545.68	0.14471
547.09	0.14270
548.41	0.13346
550.83	0.11416
553.15	0.094066
555.16	0.079193
558.39	0.060703
562.12	0.045026
565.85	0.033771
570.70	0.024124
575.24	0.018277
580.58	0.015280
585.72	0.015280
591.37	0.020506
595.00	0.027741
598.33	0.040604
600.96	0.049046
603.58	0.054271
605.70	0.057889
608.52	0.059095
611.85	0.057889
614.47	0.055075
618.30	0.046232
622.34	0.038594
625.77	0.032565
630.51	0.028947
634.34	0.030153
638.38	0.032967
641.91	0.037791
644.43	0.045428
647.15	0.059497
650.08	0.082409
652.60	0.11296
654.82	0.15155
657.40	0.21546
659.55	0.29425
660.97	0.37504
661.90	0.42247
663.30	0.47553
664.00	0.49426
665.00	0.49965
666.11	0.49460
666.82	0.47995
668.43	0.42689
670.20	0.36620
673.07	0.27214
675.10	0.20501
676.40	0.16763
677.61	0.14190
678.70	0.11818
680.23	0.094870
682.55	0.073164
685.18	0.052663
687.80	0.035781
690.32	0.022918
692.74	0.015280
694.86	0.012467
697.18	0.010055
699.30	0.0088489
