Wavelength (nm)	CHL208_BPhe d, Et2O (Stanier, 1960).abs
401.68	0.94239
402.58	0.95963
403.39	0.98127
404.53	0.99745
405.00	1.00000
405.60	0.99722
406.52	0.98453
408.33	0.94043
409.91	0.87033
411.84	0.76919
414.27	0.65565
417.55	0.51368
420.75	0.36404
424.00	0.21439
425.40	0.16361
426.73	0.13188
428.33	0.10783
429.59	0.089456
431.53	0.072420
434.14	0.057054
436.55	0.044694
439.00	0.035675
442.55	0.024652
446.01	0.018639
449.54	0.015967
452.99	0.015967
456.44	0.017637
460.49	0.023984
464.19	0.028995
468.40	0.033003
472.52	0.035860
475.98	0.035675
479.60	0.035341
482.79	0.035007
485.66	0.036009
488.52	0.040018
491.21	0.049371
493.49	0.060728
495.25	0.068745
497.61	0.079434
500.30	0.087785
502.41	0.090124
504.43	0.088453
506.28	0.085447
508.39	0.079100
510.32	0.069079
511.75	0.059726
513.86	0.047701
516.05	0.040352
518.15	0.034673
520.84	0.032001
523.29	0.033003
525.48	0.038682
527.41	0.047367
528.84	0.057722
530.27	0.073088
531.62	0.085447
532.55	0.095802
533.72	0.098475
535.10	0.096547
536.50	0.084445
538.10	0.068411
540.46	0.049371
542.73	0.036343
545.01	0.028326
547.45	0.023650
549.64	0.022982
552.25	0.024986
554.60	0.027658
557.04	0.027992
559.74	0.025988
562.77	0.022982
565.29	0.019976
567.73	0.016301
570.43	0.013629
572.95	0.011959
575.56	0.011291
578.93	0.011291
582.64	0.013629
586.00	0.015633
588.70	0.019976
591.39	0.027992
594.08	0.038682
595.94	0.048035
597.28	0.054716
599.14	0.060728
601.41	0.066073
603.51	0.067743
605.87	0.066407
608.00	0.061730
609.83	0.055050
612.10	0.047033
613.87	0.041020
616.48	0.035675
619.26	0.030999
621.95	0.028326
625.15	0.028661
628.68	0.029997
631.46	0.030999
634.74	0.032335
637.44	0.034673
640.13	0.041354
642.83	0.055718
645.44	0.077096
648.47	0.10983
650.99	0.15025
652.84	0.19902
654.60	0.26182
655.65	0.32696
656.72	0.39577
658.23	0.47093
659.16	0.49573
660.00	0.50066
661.09	0.49573
662.10	0.47861
663.79	0.40379
665.64	0.30625
667.49	0.21873
669.34	0.12420
670.27	0.092128
671.11	0.073422
672.12	0.056720
673.55	0.044360
674.98	0.034673
676.42	0.027324
678.27	0.019976
680.12	0.013963
682.39	0.0082842
684.24	0.0042757
