Wavelength (nm)	CHL209_BPhe d, Ace (Gloe, 1975).abs
307.65	0.37325
309.22	0.38901
311.44	0.39848
313.67	0.40667
315.90	0.41235
318.58	0.41046
321.03	0.40794
323.93	0.40795
326.60	0.41047
329.72	0.41678
331.69	0.42351
334.48	0.43455
337.45	0.44558
339.50	0.45399
342.28	0.46556
344.88	0.47817
346.56	0.49183
348.78	0.50655
351.01	0.52652
352.50	0.54491
353.99	0.56383
355.84	0.58695
358.26	0.61901
360.67	0.65054
362.72	0.67576
364.76	0.70098
366.43	0.72200
368.66	0.74460
371.45	0.77088
373.68	0.79295
376.65	0.81817
379.62	0.83867
382.22	0.86232
384.64	0.87808
387.98	0.90436
390.58	0.92223
392.81	0.94062
395.41	0.95586
397.46	0.96953
399.87	0.97794
402.47	0.98950
403.96	0.99581
406.00	1.0000
407.30	0.99528
408.60	0.98740
409.90	0.97900
411.02	0.96481
412.69	0.94169
414.36	0.91700
416.40	0.87391
417.71	0.84186
419.06	0.79930
420.11	0.74676
421.05	0.69421
422.15	0.63379
423.13	0.57862
424.58	0.50611
426.25	0.41888
428.11	0.31589
429.41	0.24654
430.71	0.19872
431.64	0.17140
432.57	0.15196
433.50	0.13304
435.35	0.11203
437.21	0.089960
439.25	0.074724
441.30	0.065268
444.08	0.058440
446.31	0.054764
450.40	0.053193
453.74	0.056349
457.65	0.059506
460.99	0.063713
463.40	0.068970
467.31	0.072127
470.28	0.073181
473.62	0.074761
477.34	0.075816
479.94	0.078972
482.91	0.086331
485.33	0.092114
488.86	0.10420
491.83	0.11577
494.61	0.12575
496.47	0.13416
499.07	0.14205
502.42	0.14578
504.07	0.14485
506.32	0.14100
508.56	0.13716
510.96	0.13313
513.75	0.12840
515.98	0.12367
518.76	0.12105
521.37	0.12210
522.85	0.12578
525.08	0.13314
526.41	0.13989
527.82	0.14865
529.51	0.15117
531.18	0.14777
532.91	0.14208
535.08	0.13858
536.94	0.13815
538.95	0.14034
540.65	0.14778
542.36	0.15523
543.13	0.16136
544.68	0.16344
545.92	0.16136
547.31	0.15480
548.86	0.14429
550.72	0.13378
553.35	0.11934
555.67	0.10445
558.92	0.088690
561.40	0.078184
563.72	0.069867
565.73	0.063301
568.37	0.057611
571.31	0.052798
573.78	0.051487
576.42	0.051052
579.05	0.052806
581.52	0.057187
584.00	0.066386
586.01	0.076897
588.65	0.090912
590.97	0.10361
592.98	0.11412
593.97	0.12026
595.61	0.12639
597.93	0.13121
599.95	0.13234
602.19	0.12858
604.13	0.12158
606.52	0.11458
609.70	0.10582
612.02	0.097505
614.34	0.090502
616.67	0.086563
619.30	0.081749
622.55	0.077374
625.03	0.075625
627.66	0.075628
630.29	0.081323
632.15	0.090083
634.00	0.098843
635.55	0.11067
636.79	0.12337
638.18	0.13782
640.16	0.16584
641.59	0.19037
643.60	0.23766
645.92	0.29459
647.47	0.34670
649.33	0.40231
651.07	0.45704
652.77	0.50434
653.66	0.53368
654.91	0.56258
656.16	0.57484
658.00	0.57834
659.39	0.57441
660.63	0.56302
662.18	0.54025
663.42	0.50829
665.28	0.44918
667.13	0.38744
669.46	0.30994
670.86	0.25696
672.55	0.18558
673.94	0.13129
674.84	0.10064
675.96	0.079621
677.20	0.062108
678.28	0.048534
679.98	0.035400
681.99	0.024455
684.63	0.017014
688.03	0.010450
691.59	0.0060747
695.15	0.0043270
700.88	0.0038953
706.45	0.0034634
720.23	0.0026026
724.28	0.0026026
729.50	0.0026026
