Wavelength (nm)	CHL210_BPhe e, Ace (Gloe, 1975).abs
341.80	0.25973
343.18	0.25123
345.47	0.24220
347.77	0.23477
349.91	0.22946
352.97	0.22627
356.04	0.22415
359.10	0.22522
362.46	0.23001
364.76	0.22948
367.67	0.22736
370.27	0.22417
372.42	0.22577
374.41	0.22949
376.40	0.23374
378.54	0.23800
380.68	0.24013
383.59	0.23588
385.89	0.23163
387.72	0.22685
390.33	0.22154
392.77	0.21889
395.38	0.21942
397.98	0.22208
400.12	0.22527
402.11	0.23378
403.49	0.24388
405.02	0.25610
406.40	0.27576
407.93	0.30924
409.31	0.34696
411.76	0.40329
414.67	0.45696
417.11	0.49841
418.95	0.52657
420.33	0.54570
422.01	0.56005
423.54	0.57546
425.38	0.59246
426.45	0.60787
428.10	0.62966
430.28	0.67695
432.27	0.72796
433.34	0.76888
435.02	0.82998
436.71	0.90544
437.78	0.95113
438.39	0.97239
439.51	0.99347
441.00	1.0000
442.56	0.99474
443.50	0.98025
444.78	0.93786
446.35	0.88207
448.04	0.81619
449.61	0.76040
451.10	0.70567
452.94	0.65042
454.93	0.58134
457.99	0.48146
459.98	0.41823
462.43	0.32737
464.26	0.26415
465.95	0.21208
467.48	0.17807
468.86	0.14938
470.08	0.12919
471.76	0.11538
473.45	0.10157
475.13	0.090945
477.28	0.080321
479.88	0.071823
482.33	0.063325
485.69	0.058016
488.91	0.054301
492.28	0.053242
495.49	0.052715
498.44	0.055491
502.53	0.060163
506.21	0.063888
510.19	0.070800
514.47	0.080370
518.61	0.089940
522.28	0.098977
525.50	0.10855
528.86	0.11546
531.92	0.12077
535.75	0.12450
538.97	0.12291
542.79	0.11973
546.31	0.11495
549.07	0.11070
552.13	0.10539
555.19	0.10061
558.41	0.099025
561.47	0.097967
564.84	0.10010
567.90	0.10010
570.96	0.10117
574.17	0.098515
576.47	0.093204
578.92	0.086832
581.98	0.081522
584.43	0.081525
587.49	0.082592
590.55	0.088441
593.16	0.094289
596.07	0.098544
598.67	0.10120
601.73	0.098551
604.48	0.092710
607.29	0.083681
610.35	0.073944
613.03	0.065535
615.58	0.058011
618.01	0.052258
620.81	0.048276
623.75	0.045624
626.68	0.046070
629.87	0.047846
632.68	0.051392
635.23	0.056708
637.65	0.062911
639.82	0.070441
641.86	0.081956
643.89	0.098341
645.69	0.11340
646.96	0.12890
648.24	0.14661
649.26	0.16742
650.15	0.19045
650.92	0.21480
651.68	0.23340
652.61	0.24491
654.00	0.24879
655.47	0.24386
656.65	0.23252
658.19	0.21216
659.34	0.19179
661.00	0.16655
662.40	0.14530
663.93	0.12272
665.33	0.10103
666.61	0.081546
667.76	0.065164
668.78	0.054096
670.18	0.042586
672.48	0.031519
674.90	0.022224
677.20	0.016471
680.39	0.010719
683.70	0.0067381
686.77	0.0048525
690.34	0.0040090
696.46	0.0036556
704.37	0.0035000
712.53	0.0035000
718.78	0.0035000
725.93	0.0035000
732.69	0.0035000
739.50	0.0035000
