Wavelength (nm)	CHL213_BPhebide e ME, DCM (Tamiaki, 2003).abs
352.16	0.15568
354.51	0.15688
357.12	0.15781
359.30	0.15781
361.81	0.15799
363.90	0.15873
365.88	0.15892
368.73	0.15966
371.54	0.15799
373.62	0.15799
375.56	0.15966
377.59	0.16466
379.33	0.16818
380.74	0.17170
382.19	0.17577
384.03	0.17910
385.72	0.18077
387.46	0.17929
389.30	0.17688
390.80	0.17336
392.06	0.17059
393.46	0.16707
394.96	0.16355
396.12	0.16133
397.53	0.16022
399.12	0.16059
400.87	0.16262
402.70	0.16540
404.16	0.17096
405.12	0.17466
406.43	0.18022
407.45	0.18614
408.66	0.19355
409.48	0.20225
410.06	0.20855
411.12	0.22021
411.95	0.23410
413.59	0.25873
416.06	0.29854
418.00	0.33447
419.40	0.36539
420.66	0.38373
421.96	0.39613
423.37	0.40984
424.58	0.41669
426.32	0.42261
427.87	0.42669
429.13	0.43206
430.63	0.43706
431.30	0.44372
432.13	0.45280
433.43	0.47261
434.55	0.49687
435.56	0.52761
436.58	0.56668
438.08	0.64372
439.68	0.73260
440.69	0.79612
441.71	0.87260
442.57	0.93037
443.06	0.95963
443.76	0.98728
444.22	0.99741
445.00	1.00000
445.72	0.99778
446.35	0.98796
446.93	0.96796
447.87	0.93056
449.26	0.85630
450.55	0.77927
452.01	0.70112
453.51	0.61946
455.45	0.52742
457.43	0.45446
460.05	0.37187
464.35	0.25040
467.06	0.17725
468.76	0.13725
470.50	0.11263
472.10	0.090034
473.94	0.069664
475.44	0.059294
477.13	0.048554
478.68	0.042628
481.05	0.035591
483.08	0.034110
486.32	0.033087
489.18	0.032479
491.89	0.032155
495.57	0.032628
498.32	0.033554
502.05	0.035036
505.39	0.037258
509.29	0.040035
514.44	0.043453
517.54	0.045962
520.44	0.049109
523.54	0.052813
526.25	0.057072
530.12	0.065960
533.31	0.071145
536.31	0.073671
539.46	0.074664
542.60	0.074293
545.07	0.072997
547.63	0.070775
550.10	0.068923
552.47	0.067071
554.75	0.065775
557.26	0.063923
560.07	0.062072
563.17	0.059664
566.36	0.058008
569.31	0.056887
572.02	0.057627
574.25	0.058394
577.25	0.057072
579.67	0.054294
582.21	0.051331
584.60	0.047813
587.02	0.044850
589.44	0.042174
591.38	0.041702
593.85	0.044665
596.49	0.049665
598.17	0.054479
599.75	0.057813
602.14	0.060961
604.02	0.061701
605.31	0.061331
606.91	0.060035
608.46	0.058368
610.40	0.054479
612.14	0.050776
613.93	0.046517
615.72	0.041147
617.46	0.036887
619.11	0.033554
620.41	0.030406
623.22	0.027443
625.35	0.026332
628.11	0.024666
629.90	0.023925
631.83	0.023184
634.06	0.024110
636.67	0.025221
638.85	0.027258
640.88	0.030406
642.62	0.034851
643.88	0.039480
645.24	0.045035
646.59	0.051517
648.19	0.059479
649.83	0.070405
650.66	0.076886
651.72	0.087626
653.37	0.10540
654.48	0.12337
656.22	0.15244
657.38	0.16559
658.30	0.17281
659.24	0.17799
660.00	0.17929
660.82	0.17744
661.69	0.17040
662.56	0.16170
663.87	0.14596
666.00	0.11540
667.35	0.095959
668.66	0.081145
670.21	0.067627
671.85	0.053739
673.62	0.041147
675.34	0.032814
677.27	0.026332
679.69	0.018370
682.24	0.014171
684.39	0.012074
686.66	0.010592
689.90	0.0087385
693.00	0.0074442
695.56	0.0065183
698.13	0.0057776
700.50	0.0052298
702.53	0.0048348
704.61	0.0044813
706.94	0.0042058
709.26	0.0039755
711.87	0.0038129
714.34	0.0036962
716.61	0.0035170
720.00	0.0035170
