Wavelength (nm)	CHL215_Chl c, Et2O (Jeffrey, 1963).abs
350.39	0.18221
353.57	0.18267
357.55	0.18312
361.52	0.18449
365.37	0.18722
369.08	0.18995
372.79	0.19268
376.24	0.19677
379.28	0.20178
382.07	0.20770
385.12	0.21316
388.30	0.21862
391.35	0.22271
394.13	0.22635
397.31	0.23091
400.49	0.23546
403.27	0.24183
406.06	0.24956
408.18	0.25776
410.83	0.27004
412.42	0.28370
413.88	0.29780
415.20	0.31965
416.79	0.34195
418.52	0.36607
420.50	0.38609
422.76	0.41613
425.41	0.45344
427.40	0.48712
429.78	0.52489
432.70	0.58087
435.22	0.63457
437.07	0.67962
438.79	0.74242
440.25	0.79931
441.84	0.86120
443.18	0.90398
444.23	0.92992
445.42	0.95722
446.61	0.98316
447.54	0.99545
449.00	1.0000
450.19	0.99500
451.38	0.98089
452.45	0.96405
453.51	0.94494
454.57	0.92673
455.02	0.90808
455.76	0.87940
456.55	0.83708
457.22	0.80022
457.88	0.76927
458.67	0.73105
459.60	0.68053
460.26	0.64185
461.46	0.58041
462.52	0.52853
463.45	0.47938
464.70	0.41021
465.57	0.35969
466.89	0.28187
467.82	0.22772
468.75	0.18585
469.41	0.16219
470.21	0.13716
471.40	0.11304
472.46	0.093014
473.78	0.074810
475.37	0.058427
476.70	0.046595
478.82	0.036583
480.81	0.029301
483.99	0.023385
487.83	0.020200
491.81	0.017469
496.32	0.016104
500.03	0.015649
505.20	0.015649
510.76	0.016104
517.12	0.017469
522.56	0.019744
527.46	0.022020
531.57	0.024750
535.41	0.026571
538.86	0.027936
542.44	0.029301
546.33	0.031197
549.86	0.033852
553.84	0.037265
557.48	0.042575
560.57	0.047884
563.00	0.052435
564.99	0.056227
567.20	0.060399
569.30	0.064950
571.08	0.069121
573.83	0.076706
575.82	0.081636
577.91	0.085762
580.00	0.087325
581.89	0.085429
583.55	0.081636
584.84	0.076896
586.68	0.070575
588.43	0.062990
589.99	0.055722
591.37	0.049085
593.03	0.043396
594.51	0.038656
596.16	0.033283
598.09	0.028859
600.21	0.025382
602.42	0.023170
604.72	0.021590
606.74	0.021274
608.77	0.022222
610.61	0.023802
612.45	0.026647
613.83	0.030123
615.58	0.034547
616.96	0.039288
618.25	0.044660
619.35	0.051297
621.10	0.060778
622.39	0.068047
624.15	0.075000
625.95	0.079642
628.00	0.082132
629.80	0.079642
631.41	0.074052
632.70	0.068363
633.89	0.060778
634.81	0.053193
635.92	0.045293
636.93	0.037076
637.85	0.029175
638.96	0.021906
640.24	0.015269
641.99	0.010213
644.11	0.0067365
646.78	0.0045243
649.45	0.0035762
652.03	0.0032601
654.97	0.0029441
