Wavelength (nm)	CHL217_Chl c1, EtOH (Wang, 2007).abs
350.02	0.17957
352.46	0.18004
355.68	0.18050
358.50	0.18235
361.43	0.18467
364.45	0.18838
366.79	0.19163
369.51	0.19580
371.85	0.20136
374.09	0.20692
376.53	0.21666
378.38	0.22268
380.43	0.23056
382.57	0.23844
384.42	0.24400
386.47	0.24956
388.61	0.25374
390.95	0.25652
393.49	0.25652
395.83	0.25791
397.97	0.25930
400.11	0.26301
401.77	0.27042
403.62	0.27877
404.99	0.28804
406.45	0.30009
408.20	0.31399
409.86	0.33392
411.52	0.35293
413.56	0.37518
415.51	0.40067
417.46	0.42941
419.12	0.45444
420.87	0.48271
422.53	0.51516
423.99	0.54853
425.35	0.58561
427.11	0.64263
428.47	0.69779
430.03	0.75851
431.40	0.81459
432.27	0.85584
433.25	0.89246
434.12	0.91981
434.81	0.94206
435.49	0.96199
436.17	0.97404
436.95	0.98424
437.73	0.99444
439.00	1.00000
440.26	0.99490
441.24	0.98563
442.51	0.96848
443.28	0.95550
444.55	0.93232
445.53	0.91054
446.50	0.88690
447.49	0.85631
448.43	0.83128
449.13	0.80764
449.91	0.78075
450.69	0.74738
451.57	0.71633
452.64	0.67415
453.42	0.63938
454.78	0.58283
455.95	0.53138
456.83	0.49430
457.71	0.45258
458.58	0.41643
459.27	0.38491
460.44	0.34366
461.70	0.29870
462.68	0.26532
463.85	0.23010
465.02	0.19719
465.99	0.17355
466.87	0.15223
467.94	0.13137
469.01	0.11375
470.18	0.096604
471.35	0.081308
472.52	0.071111
473.98	0.057205
475.83	0.044690
477.30	0.037738
479.24	0.030321
481.29	0.024296
484.02	0.019197
487.04	0.015952
490.35	0.014098
494.06	0.012418
497.95	0.012244
501.37	0.012244
506.04	0.012708
510.82	0.013635
514.72	0.015025
519.20	0.017343
523.00	0.019287
526.31	0.021978
529.04	0.025223
532.26	0.028004
534.69	0.029858
537.33	0.031326
540.15	0.033102
543.17	0.034030
545.71	0.034493
547.85	0.034957
550.68	0.036281
552.92	0.037738
554.96	0.039592
557.50	0.040982
559.84	0.043423
562.27	0.046081
564.81	0.049326
567.05	0.053497
568.80	0.057205
570.85	0.061841
572.02	0.065085
573.48	0.067866
575.14	0.071111
576.89	0.073892
578.84	0.075283
579.89	0.073825
580.94	0.071111
582.51	0.066939
584.20	0.062768
586.44	0.056742
588.29	0.052107
590.11	0.047163
591.69	0.043686
593.46	0.039823
595.49	0.038167
598.17	0.037120
600.52	0.037892
602.39	0.038665
604.99	0.040210
606.94	0.042527
608.81	0.045231
610.51	0.048321
612.46	0.053343
614.00	0.058364
615.38	0.064158
616.93	0.069952
618.06	0.077677
619.28	0.085789
620.42	0.094287
621.56	0.10278
622.45	0.11167
623.67	0.12055
624.72	0.12866
626.02	0.13639
627.00	0.14180
628.46	0.14643
630.00	0.14914
631.46	0.14682
632.76	0.14180
633.82	0.13523
634.95	0.12789
636.09	0.11824
637.23	0.10742
638.37	0.097377
639.42	0.087334
640.40	0.077291
641.21	0.068793
642.59	0.058364
643.89	0.049866
645.59	0.041755
647.62	0.033257
649.57	0.025918
651.36	0.020182
653.63	0.015103
656.39	0.010081
659.64	0.0060605
662.08	0.0039010
665.90	0.0023559
669.71	0.0012583
671.90	0.00081084
675.48	0.00060000
680.51	0.00042458
