Wavelength (nm)	CHL218_Chl c2, Ace (Jeffrey, 1972).ems
600.42	0.0020515
602.08	0.0023889
603.47	0.0034010
605.06	0.0040758
606.18	0.0057626
607.65	0.0084616
608.89	0.012173
609.93	0.015209
611.02	0.021619
611.98	0.027692
612.68	0.032752
613.30	0.040175
613.96	0.048946
614.73	0.060754
615.51	0.079310
616.24	0.10056
617.01	0.12992
618.14	0.16871
619.10	0.21460
620.16	0.26992
621.15	0.32053
622.22	0.38294
623.21	0.44705
624.56	0.53442
625.49	0.61573
626.34	0.69029
627.23	0.75338
628.03	0.80466
628.77	0.84717
629.59	0.88833
630.75	0.93252
631.64	0.95918
632.84	0.98245
633.65	0.99291
634.42	0.99865
635.00	1.00000
635.58	0.99831
636.18	0.99315
636.86	0.98043
637.67	0.95479
638.48	0.91970
639.37	0.88057
640.25	0.83232
641.69	0.75675
642.66	0.70109
643.71	0.63665
644.75	0.58267
645.87	0.52430
646.65	0.49057
647.38	0.45750
648.46	0.41297
649.55	0.37417
651.06	0.32222
652.29	0.28443
653.34	0.25441
654.42	0.22910
655.50	0.20920
656.59	0.19604
657.59	0.18457
658.68	0.17512
659.76	0.16703
660.88	0.16062
662.04	0.15522
663.47	0.15151
664.79	0.14982
666.18	0.14813
667.77	0.14780
669.28	0.14915
670.86	0.15184
672.33	0.15623
674.03	0.16298
675.39	0.17074
676.59	0.17850
677.90	0.18659
679.30	0.19739
681.19	0.21021
682.85	0.22303
684.25	0.23349
685.91	0.24294
687.77	0.25238
689.59	0.25913
691.29	0.26419
692.64	0.26790
693.69	0.26992
694.73	0.27086
696.00	0.27161
697.17	0.27067
698.13	0.26828
699.45	0.26484
700.88	0.25913
702.04	0.25407
703.20	0.24631
704.29	0.23787
705.41	0.22877
706.37	0.21729
707.30	0.20447
708.27	0.19199
709.43	0.17614
710.36	0.16332
711.33	0.14881
712.60	0.13363
713.96	0.12047
715.27	0.11001
716.94	0.098877
718.21	0.091455
719.76	0.082346
721.35	0.074587
723.40	0.066490
725.33	0.058730
727.26	0.051983
729.97	0.043548
732.06	0.038488
733.88	0.033765
735.66	0.029716
737.40	0.026680
738.60	0.023981
739.87	0.021619
740.76	0.020944
