Wavelength (nm)	CHL222_Chl c2, Pyr (Niedzwiedzki, 2010).ems
550.69	0.013864
561.90	0.013864
574.58	0.014877
579.33	0.016227
584.65	0.017914
589.75	0.019264
595.52	0.023651
601.07	0.026689
605.71	0.032426
609.56	0.040526
611.71	0.048288
613.07	0.056051
615.22	0.075288
617.14	0.093850
618.50	0.11815
620.43	0.15865
622.81	0.22851
625.70	0.33313
628.35	0.46172
630.62	0.59840
633.61	0.76647
635.80	0.89573
636.78	0.94295
638.00	0.97808
639.00	0.99315
640.00	1.0000
641.35	0.99246
642.55	0.96172
644.43	0.87211
647.60	0.72530
650.54	0.56735
652.82	0.47049
655.97	0.36756
658.55	0.30647
660.39	0.27171
662.77	0.24066
664.47	0.22243
667.07	0.20590
669.67	0.19847
672.16	0.19408
674.99	0.19746
677.30	0.20691
680.09	0.22408
682.24	0.23897
685.30	0.25990
688.13	0.28048
690.50	0.29634
692.77	0.30681
694.69	0.31221
697.00	0.31389
699.56	0.31086
701.71	0.30107
704.77	0.28048
707.14	0.25652
711.45	0.20995
715.45	0.16540
718.75	0.12794
721.41	0.10195
724.01	0.080013
726.28	0.064150
729.44	0.049638
733.74	0.035464
737.37	0.025676
742.58	0.016564
747.45	0.011502
753.11	0.0089477
759.80	0.0062789
766.35	0.0045764
774.00	0.0032402
781.87	0.0020540
788.25	0.0013770
797.37	0.0013770
