Wavelength (nm)	CHL223_Chl c3, Ace (Jeffrey, 1987).abs
352.53	0.14319
356.21	0.13999
360.40	0.13737
364.41	0.13504
368.86	0.13184
372.79	0.13067
376.47	0.13009
380.32	0.13126
383.91	0.13271
387.50	0.13562
391.09	0.14028
394.51	0.14581
397.24	0.15076
399.98	0.15658
402.37	0.16182
405.11	0.16909
407.42	0.17608
409.72	0.18597
411.95	0.19819
414.26	0.21246
416.48	0.22759
418.87	0.24360
421.44	0.26455
423.83	0.28667
426.05	0.30995
428.45	0.33702
430.67	0.36525
432.72	0.39901
434.60	0.42986
435.89	0.45867
437.77	0.50960
439.90	0.57509
442.09	0.65221
443.92	0.73457
445.29	0.81548
446.32	0.87281
447.52	0.92636
448.71	0.96449
449.73	0.98690
450.68	0.99767
451.70	1.00000
452.70	0.99767
453.67	0.98777
455.38	0.95518
457.34	0.90075
458.88	0.85419
460.77	0.79482
462.69	0.71857
464.27	0.65134
465.72	0.58789
466.89	0.53230
468.47	0.46973
470.34	0.39843
471.88	0.33498
473.17	0.28405
474.87	0.21682
476.75	0.16240
478.80	0.11787
480.34	0.088184
482.31	0.065192
483.93	0.048312
485.56	0.035215
487.61	0.025902
489.92	0.020081
492.65	0.016880
495.30	0.014552
498.38	0.012515
501.12	0.011350
504.53	0.011059
508.47	0.011059
513.00	0.011059
517.36	0.011059
522.06	0.011350
527.87	0.011641
532.66	0.012020
537.11	0.012202
542.58	0.012515
547.71	0.013097
551.38	0.014552
554.89	0.017171
558.05	0.022119
560.53	0.027066
563.61	0.033178
566.52	0.043073
569.76	0.055588
573.27	0.070431
575.92	0.080617
578.66	0.090221
581.05	0.098079
582.93	0.10244
584.64	0.10390
586.52	0.10186
588.57	0.096333
591.05	0.088184
593.88	0.077706
596.95	0.064610
599.00	0.054715
600.88	0.046275
603.02	0.037835
604.90	0.030850
607.12	0.025320
609.60	0.022119
612.34	0.021537
615.07	0.021537
618.15	0.023283
621.28	0.026484
622.53	0.027648
624.74	0.029686
626.70	0.031141
628.07	0.030575
629.29	0.028812
631.40	0.025320
633.71	0.021828
635.93	0.018917
637.90	0.015716
639.95	0.012223
642.09	0.0087311
643.71	0.0064028
645.42	0.0048195
647.31	0.0034201
649.19	0.0026193
651.67	0.0020226
653.90	0.0017585
657.18	0.0016020
