Wavelength (nm)	CHL229_Chl c1 phytyl, THF (Mizoguchi, 2009).abs
300.97	0.14691
305.84	0.15072
310.36	0.15464
314.18	0.15835
318.44	0.16025
322.70	0.16560
327.40	0.17324
331.48	0.18088
335.48	0.18852
339.39	0.19272
343.04	0.19271
346.34	0.19002
349.30	0.18618
352.60	0.18004
355.90	0.17544
359.38	0.17351
363.90	0.17273
368.25	0.17310
372.50	0.17462
377.20	0.17728
381.98	0.18301
387.02	0.19065
391.54	0.20135
395.36	0.21091
399.19	0.21587
403.10	0.21701
406.40	0.21700
409.36	0.21584
412.22	0.21660
414.83	0.22233
417.61	0.23572
419.96	0.25217
422.22	0.27475
424.83	0.30613
427.26	0.34019
430.21	0.37923
432.39	0.40908
434.47	0.43816
436.39	0.46610
438.38	0.50093
440.38	0.54112
442.30	0.58973
443.95	0.64025
445.86	0.70149
447.60	0.76541
448.90	0.81785
450.90	0.88637
452.64	0.93421
454.81	0.98397
455.85	0.99627
456.80	1.0000
458.20	0.99470
459.16	0.98165
460.81	0.93571
463.00	0.84651
465.88	0.69185
467.33	0.60189
470.28	0.42656
472.54	0.31133
474.54	0.22290
475.50	0.18204
476.89	0.14212
478.28	0.10843
479.50	0.083160
480.80	0.063633
482.54	0.045636
484.62	0.034528
487.60	0.024183
490.97	0.018429
494.97	0.015736
498.96	0.015106
505.25	0.014953
510.34	0.015152
514.65	0.015387
517.13	0.015663
522.69	0.017176
527.73	0.019073
532.51	0.022120
536.95	0.025249
541.73	0.029363
545.98	0.030114
550.33	0.029717
555.46	0.030285
559.63	0.031217
562.93	0.033886
565.80	0.036939
569.45	0.044966
572.15	0.053761
574.93	0.061025
577.01	0.068674
579.53	0.079001
581.53	0.087416
583.62	0.095065
585.60	0.097355
587.70	0.095052
589.62	0.088155
592.14	0.077428
595.26	0.063637
598.13	0.051761
601.18	0.039119
604.30	0.031835
607.00	0.027616
609.43	0.026459
612.39	0.029129
615.08	0.032948
617.86	0.040595
620.64	0.050538
623.16	0.059717
625.51	0.070428
628.03	0.081520
630.29	0.090317
631.77	0.096437
633.20	0.098346
635.25	0.096426
637.16	0.085701
639.07	0.069617
640.98	0.054299
642.63	0.042044
644.63	0.029788
646.54	0.020977
649.06	0.011016
651.93	0.0052646
655.15	0.0028372
658.97	0.0020150
662.36	0.0017919
666.19	0.0017919
