Wavelength (nm)	CHL229_Chl c1 phytyl, THF (Mizoguchi, 2009).ems
600.19	0.00062762
603.09	0.00062762
606.64	0.0017393
609.33	0.0050743
611.86	0.013968
614.33	0.031754
616.38	0.052876
618.31	0.081779
619.66	0.10957
621.32	0.15515
622.56	0.19406
624.12	0.24297
625.36	0.30078
626.43	0.35858
628.26	0.47642
630.30	0.64205
632.40	0.78768
634.98	0.93664
636.27	0.98889
637.20	1.0000
638.37	0.98778
639.55	0.94109
641.33	0.84993
642.83	0.74766
644.55	0.61315
646.65	0.47642
648.37	0.38415
649.99	0.29966
652.14	0.22407
654.66	0.16738
657.30	0.13069
660.26	0.10401
663.05	0.095119
666.01	0.090672
669.56	0.095119
673.65	0.10290
677.68	0.11402
681.71	0.12847
685.69	0.14737
689.25	0.15959
694.08	0.16563
699.00	0.16182
702.52	0.15070
705.80	0.13180
708.82	0.11291
711.93	0.089560
714.84	0.068439
718.12	0.046206
721.35	0.028620
725.06	0.013619
728.44	0.0061284
731.72	0.0027393
735.97	0.00062762
740.33	0.00062762
