Wavelength (nm)	CHL230_Chl C2 phytyl, THF (Mizoguchi, 2009).abs
300.63	0.13229
305.84	0.13382
309.80	0.13917
313.98	0.14468
318.25	0.14743
323.78	0.14925
329.10	0.15292
333.79	0.15659
338.07	0.15983
342.03	0.16392
345.99	0.16571
349.75	0.16528
353.19	0.16297
357.36	0.15973
360.81	0.15926
364.77	0.15924
369.25	0.16153
373.95	0.16336
378.12	0.16472
383.75	0.16701
388.03	0.17022
391.99	0.17362
395.74	0.18032
399.08	0.18767
402.94	0.19042
407.22	0.19133
411.39	0.19086
414.73	0.19407
417.54	0.20004
420.25	0.21385
423.28	0.23685
427.03	0.27551
431.73	0.33305
437.12	0.40301
439.76	0.43799
441.53	0.46514
443.85	0.51209
445.60	0.55905
447.68	0.62626
450.00	0.71648
452.48	0.80395
454.57	0.87852
457.28	0.95632
458.95	0.99268
460.40	0.99820
461.97	0.99313
464.06	0.95445
466.15	0.88078
468.75	0.73760
471.78	0.55390
475.11	0.37618
477.10	0.27535
478.77	0.20076
480.02	0.15656
480.96	0.12571
482.00	0.099467
483.15	0.077825
484.61	0.060326
486.17	0.041906
488.78	0.029927
490.97	0.023014
494.51	0.016097
498.16	0.014243
503.38	0.013305
509.32	0.013285
515.79	0.013842
522.47	0.014762
527.99	0.017367
533.73	0.019650
539.05	0.022855
544.26	0.026521
549.06	0.028346
553.13	0.027872
557.41	0.027858
562.10	0.030145
565.96	0.034736
569.71	0.043087
573.36	0.052666
575.97	0.062248
578.80	0.073364
581.00	0.082563
583.62	0.093299
586.49	0.10288
588.80	0.10567
591.35	0.10171
593.96	0.091730
596.74	0.076758
600.22	0.059483
603.09	0.047964
605.26	0.038365
607.61	0.031068
610.13	0.026072
613.43	0.022608
616.30	0.023750
619.51	0.029494
622.90	0.036005
625.77	0.042901
628.10	0.050182
631.00	0.058996
633.42	0.066966
634.80	0.068797
636.72	0.066651
638.64	0.059836
640.46	0.048607
642.89	0.034788
644.89	0.024422
647.33	0.013672
650.28	0.0063729
653.58	0.0036764
656.80	0.0025148
660.28	0.0021196
664.25	0.0019254
668.36	0.0018542
672.12	0.0018542
