Wavelength (nm)	CHL230_Chl C2 phytyl, THF (Mizoguchi, 2009).ems
600.57	0.0026444
603.16	0.0027841
605.43	0.0034528
607.77	0.0046581
610.23	0.0065806
613.02	0.012908
615.49	0.026829
617.43	0.047077
619.38	0.076184
620.93	0.10276
622.75	0.14326
624.63	0.19767
626.25	0.26221
627.74	0.33308
629.11	0.42293
630.73	0.54442
632.22	0.65452
633.97	0.77728
635.27	0.88105
636.63	0.95318
637.67	0.98735
638.60	1.0000
639.68	0.98608
640.65	0.95192
641.82	0.90003
643.50	0.79879
645.45	0.66718
647.26	0.54442
648.82	0.44951
650.51	0.35460
651.54	0.29765
652.91	0.25082
654.20	0.21286
656.15	0.17616
658.16	0.15085
660.56	0.12554
663.41	0.11795
666.39	0.11288
669.18	0.11668
672.23	0.12301
675.54	0.13440
679.44	0.15591
682.67	0.17236
686.63	0.19388
690.00	0.21412
693.24	0.22804
696.16	0.23184
699.47	0.23058
702.45	0.22172
705.63	0.20400
709.20	0.17110
712.70	0.13566
715.88	0.10149
719.38	0.072387
723.07	0.045201
726.58	0.025809
730.21	0.015439
733.45	0.010911
736.63	0.0099542
739.74	0.0091117
