Wavelength (nm)	CHL231_Phe c, Et2O (French, 1956).ems
615.27	0.012657
616.49	0.016450
617.82	0.022411
619.09	0.028914
620.10	0.035958
621.37	0.045171
622.54	0.053841
623.60	0.064137
624.55	0.075517
625.40	0.086897
626.36	0.10044
627.05	0.11508
627.84	0.13242
628.58	0.15192
629.43	0.17414
630.23	0.20395
631.40	0.24676
632.14	0.28198
632.93	0.32100
633.83	0.36272
634.74	0.41095
635.74	0.46785
636.49	0.51825
637.40	0.57569
638.08	0.61850
638.87	0.67594
639.51	0.71008
639.99	0.74314
640.46	0.77240
640.94	0.79733
641.58	0.82659
642.05	0.85369
642.48	0.87590
643.12	0.90517
643.81	0.92955
644.39	0.95069
645.08	0.96911
645.66	0.98103
646.35	0.99079
647.15	0.99675
648.00	1.00000
648.74	0.99512
649.64	0.98699
650.43	0.97399
651.28	0.95610
652.24	0.93497
653.25	0.90842
654.25	0.87645
655.21	0.84285
656.11	0.80600
656.98	0.76969
657.60	0.73989
658.34	0.71604
659.19	0.68841
660.25	0.65210
661.25	0.62392
662.05	0.60279
663.16	0.58219
664.17	0.56214
665.23	0.54589
666.35	0.53234
667.62	0.52150
669.05	0.51175
670.64	0.50416
672.29	0.49982
673.88	0.49766
675.52	0.49441
677.43	0.49278
679.02	0.49332
680.88	0.49549
682.42	0.49928
683.80	0.50199
685.17	0.50470
686.50	0.51012
687.83	0.51662
689.21	0.52584
690.48	0.53396
692.07	0.54860
693.40	0.56214
694.72	0.57732
695.78	0.59249
697.06	0.61146
698.54	0.63801
699.81	0.66023
700.72	0.68082
701.88	0.70521
703.00	0.73067
703.95	0.75181
705.01	0.77457
706.15	0.80166
707.03	0.82063
707.93	0.83960
708.94	0.85802
710.05	0.87482
711.06	0.88945
711.96	0.90191
713.02	0.91438
714.35	0.92413
715.35	0.92793
716.52	0.93009
717.79	0.92576
718.85	0.91926
719.86	0.90517
720.76	0.88620
721.51	0.86615
722.25	0.84664
722.83	0.82822
723.63	0.80058
724.42	0.77348
725.43	0.73609
726.70	0.69274
727.55	0.66023
728.35	0.63042
729.20	0.60062
730.05	0.56431
730.95	0.53396
731.80	0.49874
732.70	0.46189
733.55	0.43371
734.55	0.40174
735.35	0.37248
736.30	0.34647
737.10	0.32046
737.95	0.29824
738.96	0.27331
739.91	0.24947
741.13	0.22617
742.35	0.20232
743.41	0.18336
744.84	0.16168
746.38	0.14596
747.76	0.13350
749.40	0.11941
750.78	0.10966
752.21	0.099903
753.97	0.090148
755.93	0.080394
757.89	0.071182
759.64	0.063595
761.44	0.057092
763.35	0.049506
765.16	0.043003
766.69	0.038668
768.07	0.034875
769.45	0.032707
