Wavelength (nm)	CHL231_Phe c, Et2O (Jeffrey, 1963).abs
350.21	0.23487
354.32	0.24071
358.03	0.24745
360.95	0.25285
363.60	0.25779
366.25	0.26319
369.30	0.26993
372.08	0.27668
374.86	0.28432
377.38	0.29241
380.03	0.30050
382.15	0.30769
384.54	0.31803
387.32	0.33107
389.57	0.34546
391.43	0.36119
393.42	0.38097
396.73	0.41559
400.31	0.45290
403.49	0.49381
405.88	0.52617
407.80	0.55584
409.85	0.58641
411.84	0.61968
413.07	0.64485
415.25	0.68397
417.07	0.72263
418.07	0.75364
419.53	0.80220
420.99	0.85255
422.05	0.88851
423.11	0.91368
424.17	0.93616
424.96	0.95279
426.55	0.97302
427.61	0.98786
428.67	0.99595
430.00	1.00000
431.32	0.99550
432.38	0.98516
434.11	0.96448
435.83	0.94111
437.02	0.91683
438.61	0.88716
439.75	0.86019
440.80	0.82602
441.87	0.79186
443.45	0.74465
444.58	0.70689
445.77	0.67228
446.83	0.63586
448.16	0.58866
449.48	0.53921
450.62	0.50145
451.82	0.45380
453.33	0.40480
454.39	0.36614
455.45	0.32792
456.64	0.29151
458.36	0.24251
459.55	0.21509
460.88	0.18991
461.81	0.16968
463.27	0.14900
464.59	0.12788
465.78	0.11169
466.98	0.094609
468.57	0.079324
470.03	0.068086
471.88	0.058196
473.47	0.051452
475.02	0.046582
477.45	0.041338
479.77	0.037966
482.42	0.036468
485.18	0.035718
488.49	0.036093
491.81	0.037591
494.35	0.038715
498.10	0.041338
501.64	0.043960
504.40	0.046582
507.49	0.049954
512.24	0.054449
515.66	0.058196
519.20	0.062317
522.18	0.066437
524.39	0.068685
527.37	0.070933
530.02	0.072431
532.67	0.070933
535.32	0.067187
537.20	0.063066
539.63	0.058945
541.95	0.056697
544.38	0.053700
547.69	0.051827
550.12	0.052576
552.88	0.054449
555.31	0.056697
558.74	0.061193
561.28	0.066437
563.38	0.072431
564.81	0.077676
566.36	0.083295
567.79	0.088540
570.00	0.089805
571.66	0.088540
573.32	0.084045
575.30	0.079549
577.29	0.075803
579.17	0.073930
582.26	0.073181
585.25	0.072806
588.12	0.074304
591.00	0.075516
592.87	0.074679
595.08	0.072057
597.28	0.068685
599.16	0.064939
601.04	0.061567
602.81	0.057446
604.46	0.053326
606.56	0.047706
608.55	0.040963
610.32	0.034594
612.42	0.028975
615.18	0.025978
617.61	0.025604
620.15	0.025604
622.58	0.025978
625.00	0.026710
627.44	0.025604
629.76	0.023356
632.19	0.020359
634.51	0.015863
636.82	0.012492
639.03	0.0092875
641.35	0.0079962
644.45	0.0064978
646.43	0.0064978
648.31	0.0064978
651.29	0.0053739
653.17	0.0038754
655.82	0.0027515
658.58	0.0023126
