Wavelength (nm)	CHL233_Phe c2, Ace (Jeffrey, 1972).ems
618.02	0.026636
619.51	0.026636
620.92	0.027748
622.64	0.029970
624.24	0.034044
625.84	0.039229
627.44	0.046637
628.73	0.056637
630.14	0.070341
631.62	0.085527
633.31	0.10256
634.95	0.12331
636.59	0.14590
638.31	0.17183
639.99	0.20479
641.20	0.23072
642.45	0.25998
643.62	0.29294
644.68	0.33035
645.62	0.37072
646.52	0.41554
647.53	0.45739
648.82	0.50480
649.96	0.54517
650.97	0.57443
652.07	0.60443
652.89	0.62332
653.55	0.63369
654.29	0.64258
655.00	0.64554
655.78	0.64258
656.56	0.63369
657.50	0.61665
658.59	0.58517
660.12	0.54147
661.91	0.49035
663.44	0.44517
665.24	0.39850
666.80	0.36183
668.21	0.32850
669.73	0.30183
671.26	0.28331
672.86	0.27146
674.46	0.26109
676.06	0.25405
677.63	0.25072
678.96	0.24812
680.36	0.24664
681.69	0.24850
682.86	0.24961
684.39	0.25294
685.68	0.25850
687.05	0.26553
688.10	0.27109
689.43	0.27998
690.84	0.29072
692.20	0.30220
693.30	0.31516
694.55	0.33220
696.23	0.36109
697.91	0.39517
700.02	0.43998
702.29	0.49110
704.67	0.54628
706.67	0.59740
709.40	0.67110
712.18	0.74851
714.68	0.81740
716.79	0.87370
718.43	0.91407
719.80	0.94407
721.24	0.96778
722.26	0.98148
723.00	0.99074
724.06	0.99741
725.00	1.0000
726.05	0.99667
726.95	0.98852
727.81	0.97741
728.67	0.96074
729.49	0.93852
730.55	0.89740
731.64	0.84222
732.62	0.77073
733.32	0.71703
734.08	0.67036
734.81	0.62036
735.65	0.57221
736.53	0.52036
737.50	0.46961
738.60	0.41924
739.73	0.37035
740.75	0.33220
741.96	0.29405
743.33	0.25072
744.54	0.21516
745.40	0.19294
746.68	0.17072
748.06	0.14849
749.89	0.12108
752.04	0.092935
754.11	0.067378
756.26	0.043674
757.92	0.023673
759.31	0.0095988
