Wavelength (nm)	CHL234_Phe c3, Ace (Jeffrey, 1987).abs
352.83	0.26441
355.66	0.27384
358.55	0.28109
360.95	0.28665
364.06	0.29004
367.80	0.29487
371.68	0.29826
375.21	0.30165
379.02	0.30503
382.13	0.30963
384.95	0.31495
387.42	0.32027
389.54	0.32583
391.73	0.33429
393.64	0.34275
395.47	0.35460
397.17	0.36500
398.86	0.37879
400.70	0.39813
402.95	0.42497
405.71	0.45593
407.68	0.48253
409.94	0.51807
411.71	0.55072
415.87	0.61988
418.91	0.67888
421.94	0.74732
424.49	0.81696
426.65	0.88008
428.32	0.92215
430.63	0.96665
432.82	0.99204
434.16	0.99857
435.00	1.0000
436.13	0.99857
437.22	0.99131
438.89	0.97003
440.40	0.94029
441.57	0.91103
443.05	0.85952
443.83	0.82035
444.84	0.77223
446.15	0.70935
447.47	0.65180
448.70	0.60102
449.97	0.54685
451.38	0.48906
453.01	0.42086
454.42	0.35751
455.90	0.29633
457.52	0.24022
459.29	0.19911
461.57	0.15897
463.81	0.12367
465.50	0.10263
466.91	0.088119
469.38	0.076028
471.08	0.068532
473.76	0.058859
476.58	0.052330
479.05	0.047977
481.24	0.044591
484.63	0.041448
488.30	0.039755
492.04	0.039271
495.64	0.039513
498.68	0.040722
501.93	0.043141
505.53	0.047252
509.48	0.053539
513.50	0.062970
516.96	0.072643
518.87	0.078930
520.83	0.086184
523.25	0.095132
524.80	0.10045
526.19	0.10360
527.76	0.10456
529.46	0.10311
532.00	0.099968
533.84	0.096099
536.29	0.089086
538.80	0.080623
541.18	0.072643
543.51	0.064179
545.82	0.056924
548.10	0.051121
550.57	0.047493
554.10	0.044108
557.63	0.042415
561.01	0.041690
563.77	0.041690
566.10	0.041690
568.78	0.041211
571.32	0.040964
573.65	0.038788
575.56	0.036370
576.83	0.034435
578.45	0.031533
579.65	0.030566
581.49	0.030808
583.82	0.032742
586.64	0.037095
589.25	0.042173
591.65	0.046042
594.17	0.050395
596.42	0.052160
599.81	0.053297
603.86	0.050637
607.25	0.045801
610.11	0.040239
612.41	0.035402
615.09	0.028873
617.63	0.024037
619.89	0.019844
622.08	0.017266
623.70	0.015815
626.67	0.014848
630.05	0.013880
634.08	0.012913
638.38	0.012430
641.70	0.012913
644.03	0.013880
647.77	0.014848
651.59	0.015815
654.62	0.016540
657.30	0.016782
660.55	0.016057
663.52	0.014848
666.27	0.013155
669.16	0.011462
672.69	0.0088022
675.52	0.0066259
678.34	0.0046913
681.38	0.0032404
684.13	0.0024757
686.29	0.0021580
689.83	0.0017282
692.91	0.0015140
