Wavelength (nm)	CHL235_Phe c3, Ace (Fawley, 1989).abs
402.68	0.36846
405.12	0.38347
406.53	0.39897
408.58	0.42222
411.04	0.45612
413.46	0.49293
415.64	0.52829
417.18	0.56413
418.72	0.60094
421.03	0.67455
422.83	0.74139
424.63	0.80193
426.34	0.85569
427.71	0.89492
429.12	0.93222
430.28	0.96225
431.34	0.98646
432.54	0.99615
434.00	1.0000
435.67	0.99413
437.46	0.98162
439.65	0.94723
441.06	0.91623
443.11	0.86732
446.07	0.78982
448.04	0.72492
449.64	0.65228
452.35	0.54330
454.02	0.46290
456.08	0.38105
457.84	0.31615
459.34	0.25464
460.44	0.21251
461.34	0.18780
462.14	0.16892
463.34	0.15003
464.42	0.13695
466.60	0.11273
468.14	0.096267
469.68	0.082706
471.61	0.070597
474.43	0.058489
477.77	0.048803
481.24	0.043959
484.06	0.040569
487.01	0.038148
489.58	0.037663
492.66	0.036695
496.13	0.036695
499.59	0.036695
503.06	0.036695
506.27	0.038632
509.86	0.041538
512.69	0.044363
515.36	0.046785
517.93	0.050014
520.28	0.053242
522.85	0.057682
525.52	0.061315
527.45	0.064543
529.69	0.068983
532.47	0.071001
535.04	0.071405
537.61	0.070194
540.50	0.066965
543.28	0.062929
546.24	0.058086
548.63	0.055664
551.52	0.050821
554.08	0.046785
556.33	0.044363
558.36	0.043556
561.36	0.045170
563.92	0.046785
566.28	0.050417
568.63	0.055260
572.16	0.060507
575.26	0.065754
577.62	0.070597
579.76	0.071405
581.89	0.069387
584.25	0.067772
585.85	0.066965
588.10	0.067369
590.77	0.068983
592.81	0.071001
595.16	0.071808
597.00	0.072616
599.44	0.071405
602.11	0.068579
604.25	0.065351
606.18	0.061718
608.64	0.056471
610.67	0.050821
613.56	0.043556
616.02	0.037905
618.16	0.031044
621.05	0.025394
623.34	0.021110
625.75	0.018936
628.85	0.016514
631.54	0.014496
634.42	0.012148
638.37	0.010152
643.30	0.0087190
646.93	0.0080139
651.42	0.0066587
656.45	0.0060204
663.30	0.0052441
667.15	0.0048096
674.00	0.0044060
678.49	0.0040024
683.30	0.0035988
687.37	0.0033320
692.71	0.0031952
696.89	0.0031952
699.50	0.0031952
