Wavelength (nm)	CHL237_PyroPhe c2, 90Ace (Harradine, 1999).abs
350.18	0.17924
354.75	0.18887
359.32	0.19742
363.47	0.20919
367.72	0.22202
372.72	0.23753
376.76	0.25036
381.22	0.26373
385.80	0.28191
389.30	0.29955
393.03	0.32468
397.17	0.35462
400.15	0.38671
403.44	0.42093
406.31	0.46103
410.14	0.53161
414.93	0.65191
418.40	0.75083
420.60	0.80911
423.75	0.87809
426.51	0.93477
429.28	0.97861
430.87	0.99568
432.50	1.00000
433.74	0.99572
435.45	0.98022
437.57	0.93798
440.80	0.81981
445.12	0.61930
449.05	0.42146
452.14	0.26586
454.48	0.17283
455.65	0.13754
457.03	0.10813
459.15	0.081395
461.28	0.064285
463.41	0.049313
465.85	0.037550
467.98	0.027391
470.74	0.021597
474.14	0.019491
476.91	0.018599
481.37	0.018301
487.01	0.018836
492.43	0.019905
497.75	0.023648
503.17	0.030113
507.85	0.035946
512.95	0.041293
516.65	0.045343
520.39	0.051987
523.79	0.057334
526.13	0.061077
528.75	0.062875
531.98	0.061077
535.17	0.057334
538.79	0.051987
541.87	0.045036
545.06	0.039689
548.67	0.036481
551.97	0.035243
555.16	0.037015
557.92	0.040758
560.79	0.049313
563.66	0.060007
566.43	0.069632
569.09	0.077117
571.00	0.081040
573.00	0.082464
575.89	0.080860
578.65	0.076583
580.99	0.070166
583.23	0.066423
584.75	0.065247
586.00	0.065889
588.33	0.070166
590.77	0.073375
593.50	0.075051
595.88	0.073909
599.17	0.066423
601.62	0.060542
604.45	0.053056
607.66	0.042897
610.44	0.034342
614.06	0.022579
617.46	0.012954
620.54	0.0076071
623.84	0.0046003
626.60	0.0033296
629.79	0.0022602
633.83	0.0022602
637.55	0.0022602
641.06	0.0022602
644.89	0.0022602
649.25	0.0022602
655.20	0.0022602
660.41	0.0022602
