Wavelength (nm)	CHL238_ProtoChl a, Et2O (Boardman, 1966).ems.txt

603.84	0.0021103
605.79	0.011155
607.47	0.022008
609.31	0.037082
610.81	0.053361
612.21	0.070847
613.38	0.088332
614.44	0.10883
615.44	0.13295
616.16	0.15405
617.06	0.18300
617.95	0.22400
618.84	0.27887
620.01	0.36087
621.29	0.45674
622.58	0.55140
623.81	0.64667
624.82	0.72384
625.88	0.79740
627.15	0.87217
628.15	0.92463
629.10	0.96985
629.99	0.99397
631.00	1.00000
631.94	0.99336
633.17	0.96925
634.73	0.91377
636.29	0.85348
637.80	0.77630
639.75	0.67561
641.37	0.58818
642.87	0.50738
645.05	0.41754
646.89	0.35122
648.84	0.29997
650.51	0.26078
652.30	0.23485
654.31	0.21254
656.37	0.19928
658.43	0.19325
660.49	0.19023
662.84	0.19325
665.07	0.19867
667.69	0.20832
669.86	0.21556
672.04	0.22219
674.55	0.22822
676.94	0.23184
678.90	0.23304
681.13	0.23304
683.13	0.23123
685.31	0.22822
687.37	0.22339
689.21	0.21797
691.05	0.21013
693.00	0.20108
695.23	0.18903
697.35	0.17576
699.31	0.16189
701.48	0.14622
703.82	0.12873
706.33	0.11185
708.67	0.097980
711.18	0.085318
713.64	0.072656
716.20	0.058788
718.93	0.047332
721.78	0.034670
724.12	0.028640
726.63	0.021405
729.42	0.014772
731.81	0.011155
734.05	0.0093458
736.39	0.0057280
739.23	0.0045221
742.02	0.0027133
745.03	0.0027133
748.82	0.0045221
