Wavelength (nm)	CHL238_ProtoChl a, Et2O (Houssier, 1969).abs
387.91	0.11881
390.95	0.12516
393.99	0.13469
397.30	0.14739
399.98	0.16264
401.95	0.18043
404.36	0.20394
405.88	0.23380
407.67	0.26048
409.28	0.28653
411.34	0.30813
413.58	0.32719
415.72	0.34434
417.87	0.36086
420.11	0.38373
421.53	0.40851
423.59	0.47586
425.13	0.55908
426.54	0.68043
427.89	0.81512
429.04	0.90597
429.84	0.95934
430.93	0.99491
432.00	1.00000
432.99	0.99491
434.00	0.97077
436.40	0.86467
438.50	0.74142
440.59	0.59530
442.29	0.45489
443.99	0.31512
445.51	0.20203
446.49	0.13786
447.74	0.094028
449.44	0.061626
451.50	0.038119
453.20	0.024778
455.44	0.015248
457.98	0.010800
460.33	0.0090854
465.34	0.0069311
470.35	0.0057736
475.36	0.0053542
478.86	0.0049404
481.73	0.0046379
487.10	0.0049555
492.29	0.0050826
498.10	0.0054638
502.84	0.0058450
507.31	0.0064168
511.07	0.0073062
513.93	0.0084498
516.53	0.0099110
519.57	0.011626
522.52	0.013723
524.94	0.015883
527.39	0.017895
529.68	0.019949
531.82	0.021029
533.79	0.021347
535.94	0.021093
536.92	0.020267
538.08	0.019314
539.78	0.018107
541.48	0.017853
543.27	0.018318
544.91	0.019854
547.30	0.022024
549.31	0.024142
550.87	0.025889
552.29	0.027054
553.74	0.028145
556.06	0.028907
558.57	0.029288
560.49	0.029913
562.28	0.030866
563.47	0.032719
565.33	0.036160
566.97	0.039337
568.54	0.042408
569.73	0.044578
570.70	0.044949
571.82	0.044631
573.01	0.042461
575.32	0.036531
578.68	0.028642
581.58	0.022819
583.60	0.019377
584.79	0.017683
586.43	0.015936
588.52	0.015565
591.05	0.015989
592.76	0.017471
594.70	0.019430
596.86	0.021707
598.35	0.024248
599.85	0.026472
601.19	0.028907
602.75	0.030019
604.62	0.030495
606.85	0.030601
608.42	0.031448
610.06	0.034307
611.25	0.038596
612.98	0.049936
615.13	0.069377
617.17	0.090800
618.46	0.10414
620.33	0.11855
621.18	0.12259
622.00	0.12341
622.92	0.12252
623.93	0.11878
625.44	0.10010
626.94	0.081880
628.55	0.060610
630.05	0.040864
631.02	0.027446
632.41	0.017230
633.16	0.013647
634.24	0.011207
636.38	0.0087674
638.42	0.0066328
641.00	0.0048030
643.47	0.0035070
646.15	0.0024396
649.37	0.0019822
652.48	0.0016773
655.81	0.0015248
