Wavelength (nm)	CHL243_7-OCH3-8-vinyl ProtoChllide a, Ace (Álvarez, 2013).abs
350.79	0.13593
354.32	0.13422
357.21	0.13251
360.42	0.13052
363.46	0.12910
366.83	0.12853
370.60	0.12881
373.73	0.13023
377.10	0.13223
380.30	0.13508
385.36	0.13849
389.05	0.14390
392.97	0.15102
395.46	0.15729
397.87	0.16213
400.59	0.16526
402.92	0.16583
405.08	0.16554
407.01	0.16668
409.09	0.17181
411.42	0.18348
413.50	0.19715
414.87	0.21224
416.23	0.23018
417.83	0.24585
419.92	0.27518
421.84	0.29739
423.93	0.32102
425.93	0.34409
428.26	0.36744
430.02	0.38965
431.63	0.41585
433.31	0.44575
435.00	0.48960
436.36	0.53516
437.72	0.59240
439.00	0.65561
440.26	0.71775
441.86	0.80762
443.01	0.86126
444.10	0.90842
445.04	0.94396
446.38	0.98052
447.63	0.99624
448.50	1.00000
449.75	0.99590
450.52	0.98154
452.11	0.94327
453.94	0.88313
455.52	0.82607
457.06	0.76012
459.57	0.65795
461.20	0.58175
463.04	0.49427
465.14	0.40167
467.07	0.31863
468.52	0.26703
470.15	0.20382
471.88	0.15358
473.23	0.11770
474.29	0.096519
475.64	0.075333
477.37	0.054831
478.81	0.041162
480.54	0.029886
483.72	0.018268
486.99	0.012281
491.03	0.010067
495.27	0.0097250
500.66	0.010067
506.24	0.010408
512.78	0.011434
517.88	0.013484
522.12	0.016217
526.54	0.018951
530.68	0.021343
534.53	0.022710
539.15	0.023052
543.77	0.022710
546.94	0.022368
550.22	0.023052
553.29	0.025785
556.25	0.030854
558.97	0.036834
561.94	0.046231
565.07	0.056197
568.43	0.069296
571.00	0.079548
573.01	0.087805
575.01	0.094070
577.26	0.099196
579.50	0.10062
581.91	0.097772
584.39	0.091507
586.64	0.081826
589.37	0.069012
592.17	0.056482
594.42	0.048224
596.26	0.041105
598.75	0.035410
601.63	0.029715
604.36	0.026867
607.17	0.025728
609.73	0.026583
612.22	0.028006
614.79	0.030000
617.19	0.031424
619.36	0.032990
621.44	0.033702
623.21	0.032847
625.71	0.028718
627.78	0.022786
629.38	0.019701
631.52	0.014718
633.59	0.010921
636.26	0.0078361
638.87	0.0057005
641.28	0.0042870
643.28	0.0033275
645.29	0.0028529
646.96	0.0027077
649.43	0.0022760
653.24	0.0018383
658.85	0.0014291
665.13	0.0012303
700.00	0.0012303
