Wavelength (nm)	CHL244_ProtoChllide a, MeOH (Dietzek, 2006).abs
351.27	0.20532
357.99	0.20431
363.25	0.20330
367.72	0.20583
371.67	0.21443
375.88	0.22556
379.56	0.23820
383.12	0.25236
386.93	0.26349
390.35	0.27260
393.51	0.28120
396.67	0.29283
399.17	0.31003
402.06	0.33532
405.48	0.37225
408.91	0.42739
413.25	0.50326
416.67	0.56093
419.04	0.59583
420.75	0.62568
422.98	0.67829
424.69	0.74405
426.40	0.80930
428.12	0.88012
429.69	0.93475
431.01	0.96662
432.46	0.99495
434.00	1.0000
435.48	0.99545
437.19	0.97421
439.69	0.92413
442.70	0.83485
447.05	0.67373
450.22	0.53109
452.85	0.40058
454.96	0.30598
457.19	0.23011
459.43	0.17042
461.40	0.12692
464.04	0.093530
466.27	0.070767
468.51	0.053062
470.48	0.041933
473.11	0.030805
476.54	0.022711
480.22	0.018159
485.22	0.014112
490.88	0.013100
497.32	0.013606
504.03	0.014618
511.93	0.016135
518.90	0.018665
524.45	0.023301
528.73	0.028360
533.77	0.032997
538.60	0.034683
543.97	0.035526
549.12	0.036369
554.27	0.037212
558.77	0.038055
562.72	0.041006
566.66	0.046486
570.06	0.051966
573.02	0.057868
575.77	0.060397
578.95	0.059975
582.12	0.055149
585.63	0.050701
588.92	0.046064
591.99	0.042271
595.28	0.040584
598.35	0.041006
601.20	0.043535
603.83	0.046064
606.69	0.050280
609.76	0.056603
612.72	0.066298
615.18	0.077258
617.76	0.094120
620.30	0.11520
622.91	0.13459
625.30	0.15145
626.95	0.15988
629.00	0.16241
630.92	0.15946
633.11	0.14723
636.29	0.12194
639.47	0.097071
641.66	0.079366
643.97	0.062504
646.60	0.046486
648.79	0.035526
651.86	0.024566
654.49	0.017234
657.78	0.010655
661.29	0.0064399
665.46	0.0043323
669.46	0.0032292
674.12	0.0025971
678.87	0.0024353
683.26	0.0024353
699.50	0.0024353
