Wavelength (nm)	CHL245_8-Vinyl ProtoChllide a, Ace (Jeffrey, 1997).abs
350.22	0.14709
353.36	0.15000
356.79	0.15436
360.33	0.15836
364.17	0.16053
367.92	0.16380
372.46	0.16962
377.01	0.17688
380.25	0.18524
383.48	0.19177
386.92	0.19977
390.66	0.20521
394.10	0.21066
397.23	0.21829
399.66	0.22592
401.78	0.23827
405.22	0.27060
408.05	0.30620
410.88	0.35161
413.41	0.39084
416.04	0.43225
417.96	0.46164
420.39	0.49291
422.21	0.51824
423.42	0.53832
425.44	0.57864
427.36	0.62804
429.49	0.70142
431.21	0.77661
432.62	0.85144
434.54	0.93644
436.16	0.98621
436.87	0.99783
437.70	1.0000
438.59	0.99783
439.29	0.98621
441.11	0.93717
443.30	0.86161
445.15	0.77952
447.78	0.63276
449.71	0.51398
451.25	0.40428
452.64	0.32654
454.10	0.26043
455.17	0.21829
456.68	0.16671
457.90	0.13583
459.31	0.10895
460.73	0.086068
462.07	0.070025
463.42	0.057008
464.69	0.047019
466.03	0.038846
467.97	0.031581
470.75	0.025829
473.62	0.020380
476.82	0.016445
480.19	0.012813
483.81	0.010694
487.27	0.0091800
490.64	0.0084575
494.34	0.0076664
497.80	0.0067583
502.18	0.0058502
506.22	0.0055475
509.42	0.0056547
512.54	0.0058245
515.57	0.0064556
518.69	0.0076664
522.31	0.010391
526.11	0.013115
529.73	0.015840
532.85	0.016748
536.55	0.016445
540.18	0.015840
543.55	0.016142
547.34	0.016748
549.78	0.018867
552.31	0.022197
554.84	0.024921
557.20	0.027645
559.55	0.030067
562.76	0.034910
564.78	0.039451
566.88	0.045202
568.99	0.050651
570.84	0.054889
572.87	0.057614
574.55	0.058522
576.40	0.057311
578.76	0.052467
580.62	0.047019
582.64	0.039754
584.83	0.033397
586.85	0.027948
589.04	0.024315
591.32	0.022197
593.76	0.020683
596.62	0.020078
598.90	0.020438
601.43	0.022197
603.95	0.025224
606.40	0.027343
608.67	0.029531
611.12	0.033397
613.14	0.037937
614.99	0.043083
617.18	0.052770
618.28	0.060035
619.63	0.073354
620.97	0.087279
621.98	0.096966
623.05	0.10453
624.18	0.11028
625.10	0.11210
626.40	0.10998
627.71	0.10272
629.15	0.090912
630.92	0.073052
632.85	0.053678
634.20	0.040964
636.14	0.029764
637.99	0.019775
639.59	0.013418
641.53	0.0085746
643.64	0.0046394
646.00	0.0028231
648.36	0.0019150
650.88	0.0016123
653.83	0.0013095
657.20	0.0013095
660.74	0.0013095
