Wavelength (nm)	CHL249_ProtoPhe a, Et2O (Houssier, 1969).abs
352.86	0.15625
357.00	0.16304
362.07	0.17401
367.69	0.18916
372.39	0.20223
376.63	0.21685
381.14	0.23723
385.10	0.26283
387.87	0.28843
390.91	0.31560
394.32	0.34852
397.36	0.38091
400.03	0.41069
402.61	0.43890
404.45	0.46607
406.30	0.50474
408.14	0.55071
409.71	0.60139
411.36	0.68029
412.75	0.76649
414.15	0.85113
415.29	0.92010
416.01	0.96085
416.80	0.99481
418.00	1.0000
419.10	0.99481
420.51	0.96555
422.88	0.88248
425.83	0.77485
429.52	0.65834
432.74	0.53452
435.53	0.41853
437.32	0.31142
439.03	0.21790
440.30	0.16931
441.86	0.14110
444.72	0.11602
448.50	0.091462
452.74	0.067950
456.42	0.048619
459.92	0.036080
462.78	0.025630
465.82	0.017271
468.49	0.012046
471.44	0.010479
474.72	0.010185
479.69	0.011196
484.66	0.013082
489.63	0.015173
494.61	0.017943
499.36	0.020516
502.49	0.022084
505.07	0.023965
507.65	0.025845
509.49	0.027517
511.15	0.029503
512.63	0.031540
513.82	0.033892
515.11	0.037079
516.40	0.040631
517.51	0.045490
518.98	0.050140
520.46	0.052335
522.02	0.053745
523.59	0.054059
525.43	0.053641
527.09	0.051917
528.57	0.048939
530.04	0.045908
532.07	0.042774
534.46	0.039273
535.94	0.036661
537.41	0.034414
539.07	0.032481
541.47	0.031227
544.69	0.030704
547.27	0.031279
549.39	0.032690
550.86	0.034571
552.62	0.037862
554.37	0.042721
556.02	0.048991
557.78	0.057141
559.25	0.066598
560.63	0.075637
561.92	0.084153
562.83	0.090475
564.03	0.096954
564.87	0.10040
565.92	0.10098
566.81	0.10019
567.61	0.097110
568.56	0.088960
569.58	0.077048
570.86	0.065501
571.60	0.058970
572.70	0.054581
573.53	0.052909
574.64	0.051342
576.39	0.050820
578.69	0.051447
580.07	0.053118
581.36	0.056305
582.47	0.060799
583.57	0.064195
584.59	0.066859
585.51	0.069628
586.71	0.071144
588.00	0.071457
589.38	0.070935
590.85	0.069472
592.79	0.066023
595.37	0.060224
598.78	0.051290
601.73	0.041102
603.94	0.032690
606.43	0.025427
608.64	0.019576
610.85	0.014874
612.51	0.012105
614.99	0.0092309
617.85	0.0080292
620.71	0.0074023
623.38	0.0068798
626.60	0.0067231
630.01	0.0071410
632.87	0.0081337
636.09	0.0091787
638.67	0.0096489
641.53	0.0090742
644.48	0.0083427
647.61	0.0075068
650.56	0.0064618
654.34	0.0053124
658.02	0.0041107
661.80	0.0030135
664.93	0.0021253
667.70	0.0014461
670.37	0.0010804
672.95	0.0010804
