Wavelength (nm)	CHL249_ProtoPhe a, Et2O (Houssier, 1969).ems
591.85	0.0043178
594.68	0.010363
597.87	0.018216
601.64	0.030225
605.68	0.042491
609.44	0.054404
612.64	0.063040
616.59	0.082038
621.10	0.11485
623.83	0.14508
626.37	0.18567
629.10	0.23575
632.02	0.28929
634.46	0.34197
636.88	0.39119
639.85	0.44560
642.27	0.48532
645.28	0.52418
648.47	0.55700
650.54	0.56736
653.00	0.57252
655.53	0.56736
657.69	0.55613
660.30	0.52850
662.96	0.49482
665.68	0.46028
667.85	0.43869
670.11	0.42183
672.36	0.41537
674.81	0.41106
677.63	0.41710
680.17	0.43092
682.62	0.45337
686.38	0.49568
688.95	0.53271
692.59	0.60708
695.50	0.68221
699.08	0.76943
701.90	0.83938
706.22	0.93006
708.95	0.97410
711.02	0.99482
713.00	1.0000
714.87	0.99051
716.58	0.96719
719.02	0.91883
723.06	0.81348
727.10	0.70208
731.43	0.58290
734.66	0.48964
737.83	0.40156
740.93	0.32815
744.00	0.26080
747.95	0.19603
751.56	0.15458
755.04	0.12522
759.55	0.099310
766.51	0.073403
772.25	0.056995
777.05	0.048359
783.26	0.035406
789.65	0.024180
794.35	0.018135
800.56	0.013817
806.20	0.0086356
810.72	0.0043178
