Wavelength (nm)	CHL252_BChl a, C6H6 (Kobayashi, 1998).abs
308.71	0.39457
310.90	0.37789
313.05	0.35877
314.98	0.34700
316.54	0.34074
317.87	0.33597
320.08	0.33290
322.30	0.33835
324.16	0.34516
325.19	0.35190
327.63	0.36662
330.07	0.38337
333.28	0.40782
336.82	0.44119
339.92	0.47933
342.40	0.51577
344.97	0.55493
347.62	0.59375
349.74	0.62576
351.43	0.65538
353.03	0.68535
354.80	0.71736
356.66	0.75345
358.34	0.77934
359.80	0.79432
361.00	0.79704
362.15	0.79364
363.83	0.77150
365.77	0.72860
367.90	0.68263
369.50	0.64483
370.91	0.60873
372.51	0.57366
373.75	0.55152
374.99	0.53381
376.94	0.51849
379.15	0.50317
381.28	0.49295
384.11	0.48279
386.23	0.47592
388.18	0.47218
391.55	0.47695
393.85	0.48308
395.62	0.48818
397.30	0.49159
398.99	0.48750
400.05	0.47456
401.64	0.43949
402.88	0.39726
404.17	0.35436
406.25	0.28080
407.58	0.23756
409.70	0.17694
411.65	0.13301
413.42	0.10611
415.28	0.088745
418.20	0.071037
421.57	0.059459
426.53	0.047686
432.02	0.040390
437.51	0.034601
443.97	0.031195
449.99	0.027109
455.66	0.022682
462.04	0.019958
467.26	0.018596
472.48	0.017234
477.98	0.015531
484.62	0.014169
491.26	0.012126
497.37	0.010764
502.06	0.010764
506.40	0.010423
511.45	0.011104
515.88	0.012126
520.13	0.015191
524.29	0.019958
529.07	0.025406
533.32	0.032217
538.72	0.039027
544.04	0.044476
548.99	0.050946
552.98	0.058438
555.90	0.070697
558.47	0.083977
561.20	0.10373
563.51	0.12144
566.44	0.15072
569.32	0.18341
572.28	0.21202
576.36	0.24334
579.10	0.25731
580.96	0.25935
582.82	0.25697
585.48	0.24164
588.40	0.21031
591.68	0.17217
595.13	0.13063
598.32	0.094874
601.77	0.064567
603.90	0.051286
606.29	0.038687
609.74	0.027790
612.84	0.019958
616.12	0.015872
619.57	0.012466
622.49	0.010423
625.33	0.010083
628.60	0.011445
631.44	0.014169
634.71	0.016212
637.99	0.017234
641.18	0.018596
644.54	0.018936
647.47	0.018255
650.92	0.019277
654.20	0.019617
657.65	0.020980
661.99	0.023023
665.62	0.026428
669.60	0.031195
672.79	0.034941
676.33	0.040390
679.52	0.047200
682.53	0.055639
685.28	0.063205
688.11	0.071037
690.59	0.077507
693.07	0.084658
696.08	0.094193
698.74	0.10168
701.57	0.10986
703.96	0.11565
705.73	0.12041
707.95	0.12431
710.25	0.12639
712.82	0.12586
715.47	0.12416
718.13	0.12280
721.58	0.12348
725.22	0.12450
727.78	0.12825
730.26	0.13540
733.01	0.14527
735.04	0.15821
738.50	0.17660
742.57	0.21236
747.00	0.25594
750.36	0.30975
754.26	0.38296
758.07	0.46435
761.70	0.56855
765.80	0.69727
770.02	0.81816
772.56	0.88456
776.13	0.95641
778.08	0.98740
779.76	0.99795
781.00	1.00000
782.24	0.99795
784.10	0.97718
786.22	0.92678
789.20	0.80998
792.67	0.64687
796.06	0.45651
800.40	0.26344
802.35	0.19056
804.21	0.14493
805.71	0.11190
807.48	0.087723
809.87	0.064908
812.19	0.047200
814.97	0.032557
818.11	0.023023
821.03	0.016553
824.75	0.0097421
827.76	0.0063368
830.95	0.0042936
834.93	0.0025910
838.74	0.0020176
840.92	0.0019100
843.33	0.0019100
