Wavelength (nm)	CHL256_BChl a, Et2O (Mizoguchi, 2015).abs
300.36	0.18304
302.16	0.18700
303.59	0.18865
305.39	0.18667
307.43	0.18337
309.11	0.18139
310.74	0.17930
312.84	0.18507
315.14	0.19443
318.03	0.20764
320.63	0.22525
323.52	0.24561
326.82	0.27148
330.11	0.30065
333.51	0.33229
336.11	0.36339
338.70	0.40191
341.00	0.44264
344.40	0.50400
346.99	0.55463
349.88	0.61655
352.38	0.66608
355.75	0.72689
356.95	0.73973
358.00	0.74234
359.00	0.73950
360.07	0.72744
362.95	0.66855
365.86	0.59563
367.46	0.55766
369.15	0.52491
370.55	0.50207
371.65	0.48584
373.05	0.47263
374.75	0.46190
376.64	0.45447
378.74	0.44649
380.14	0.44044
382.28	0.43452
384.23	0.43246
386.10	0.43749
387.20	0.44277
388.20	0.45011
389.02	0.45607
390.19	0.46662
391.20	0.47442
392.00	0.47765
393.00	0.47442
394.02	0.46685
395.00	0.45241
396.51	0.41847
398.34	0.35587
401.51	0.24786
403.50	0.19122
405.25	0.14628
407.50	0.10706
409.33	0.084820
410.66	0.070603
412.24	0.059825
414.30	0.049048
416.65	0.041480
419.23	0.034601
423.31	0.029556
428.71	0.025658
435.45	0.020384
443.03	0.016256
450.85	0.012817
458.67	0.0098355
465.49	0.0075424
471.98	0.0059372
477.22	0.0050200
481.97	0.0043320
488.00	0.0043870
496.00	0.0044126
505.51	0.0045614
509.26	0.0057079
513.59	0.0075424
518.00	0.010753
522.24	0.015568
526.15	0.020384
530.48	0.025658
534.55	0.030474
538.21	0.032537
541.79	0.035518
545.04	0.038958
547.78	0.044461
549.78	0.051570
552.53	0.064870
554.52	0.075877
556.80	0.091929
558.93	0.10913
561.68	0.13481
563.09	0.14972
565.20	0.17127
567.00	0.18824
569.17	0.20452
571.16	0.21667
572.90	0.22516
574.00	0.22699
575.30	0.22562
577.74	0.21851
579.82	0.20590
581.98	0.18847
584.48	0.16072
587.14	0.13229
590.22	0.10018
593.00	0.075648
595.71	0.058449
598.04	0.046525
600.95	0.037124
604.03	0.028410
607.36	0.021760
610.94	0.016486
614.76	0.013504
619.34	0.011899
623.92	0.011899
628.74	0.013275
633.57	0.015110
637.56	0.016486
642.22	0.019008
647.47	0.019696
653.12	0.021530
658.03	0.022448
662.78	0.024053
667.02	0.027034
670.60	0.031391
674.26	0.037582
677.67	0.044920
681.00	0.053405
683.99	0.061889
686.99	0.071062
689.82	0.079087
692.56	0.087113
696.39	0.096286
700.14	0.10317
704.79	0.10798
708.87	0.10936
713.78	0.11004
718.11	0.11100
721.94	0.11417
725.01	0.12036
728.09	0.13068
730.59	0.14123
732.67	0.15361
734.67	0.16852
737.08	0.19030
739.82	0.21988
741.99	0.25084
744.23	0.28753
747.90	0.36504
752.50	0.49276
756.88	0.63975
761.90	0.81036
764.80	0.89864
766.00	0.93121
767.70	0.96847
769.00	0.99037
769.95	0.99817
771.00	1.0000
772.28	0.99794
773.20	0.99037
774.94	0.96079
776.85	0.90529
778.68	0.83192
781.43	0.70625
784.65	0.53266
787.25	0.40081
789.42	0.29418
791.95	0.18962
792.83	0.15682
794.74	0.11532
796.49	0.086196
797.57	0.070144
799.07	0.054322
800.32	0.042856
801.90	0.032308
803.81	0.023365
806.31	0.015798
809.39	0.0098355
813.30	0.0054786
817.21	0.0029562
821.78	0.0018096
826.61	0.0015803
831.93	0.0015803
837.84	0.0015803
842.50	0.0015803
846.54	0.0015803
850.00	0.0015803
