Wavelength (nm)	CHL257_BChl a, EtOH (Weiss, 1972).abs
301.67	0.28344
304.85	0.32308
307.94	0.35896
312.06	0.40521
316.08	0.44968
319.26	0.48786
322.07	0.51697
324.87	0.54750
328.09	0.58713
331.33	0.62837
333.81	0.65783
335.72	0.67711
338.06	0.69211
339.93	0.70336
342.27	0.71300
344.89	0.72318
346.48	0.73336
348.45	0.75210
350.88	0.78156
353.41	0.81530
355.75	0.84530
357.80	0.87368
359.49	0.90153
361.36	0.92456
363.23	0.93474
365.00	0.93742
366.60	0.93260
368.28	0.91975
370.34	0.89780
372.21	0.87209
374.46	0.84318
377.54	0.79284
381.95	0.73072
386.11	0.66967
389.15	0.61933
392.14	0.57435
394.85	0.52294
398.33	0.43565
401.40	0.35211
404.11	0.27017
405.42	0.23322
407.20	0.19252
409.07	0.15825
411.32	0.12986
413.19	0.11112
416.46	0.091309
420.67	0.072570
425.63	0.058651
431.34	0.046340
435.83	0.038312
441.44	0.032962
447.06	0.028761
453.32	0.025948
460.81	0.024041
468.76	0.022014
476.53	0.019613
482.70	0.017269
489.16	0.016413
496.45	0.016957
502.25	0.016964
508.71	0.015900
513.57	0.015483
518.91	0.015911
523.40	0.016987
528.64	0.018600
533.88	0.021819
539.11	0.025573
544.17	0.029328
548.63	0.037901
552.99	0.049688
557.64	0.063082
562.97	0.078084
567.37	0.092548
570.27	0.10219
573.78	0.11612
576.44	0.12683
581.40	0.14719
584.30	0.15898
588.04	0.17665
592.25	0.19915
596.33	0.21951
599.36	0.22861
603.44	0.23424
606.38	0.23485
610.22	0.22983
613.30	0.22060
616.77	0.20560
619.95	0.19061
622.29	0.17562
626.12	0.15688
630.71	0.13225
633.61	0.11619
636.51	0.10227
639.69	0.094236
642.68	0.089955
647.27	0.084069
652.41	0.082468
656.81	0.083544
661.21	0.088369
666.44	0.098641
671.12	0.11082
675.80	0.12534
680.20	0.14362
685.53	0.16605
689.46	0.18051
694.23	0.19659
698.25	0.20812
702.65	0.22230
707.98	0.23409
712.66	0.24534
716.03	0.25499
720.15	0.27052
723.33	0.28766
726.79	0.30427
729.97	0.32784
732.59	0.35515
735.58	0.39532
738.20	0.43496
741.38	0.48262
744.28	0.53672
748.08	0.60795
750.98	0.66418
753.54	0.71560
756.26	0.77505
758.78	0.83021
762.01	0.89716
765.21	0.95500
767.95	0.98523
770.95	0.99678
773.00	1.00000
775.16	0.99625
777.09	0.98019
779.27	0.94592
782.27	0.87523
786.81	0.75580
791.53	0.61175
796.47	0.43234
800.70	0.30114
802.85	0.23794
804.53	0.18278
805.94	0.14690
807.71	0.11745
809.77	0.092283
811.83	0.071399
814.45	0.054264
817.63	0.040343
821.37	0.028307
824.74	0.021607
828.76	0.016791
832.13	0.013582
836.34	0.010909
840.74	0.0087715
844.29	0.0071688
847.38	0.0061011
850.75	0.0055693
855.61	0.0050360
