Wavelength (nm)	CHL259_BChl a, Pyr (Hindman, 1977).ems
749.92	0.0096650
754.94	0.018121
758.80	0.027099
761.87	0.040292
764.33	0.059283
767.22	0.081438
770.33	0.12047
773.87	0.17848
777.62	0.26127
780.32	0.35776
783.50	0.47746
787.80	0.68152
790.10	0.81439
791.70	0.89559
792.86	0.93303
794.82	0.97310
796.60	0.99525
798.00	1.0000
799.99	0.99548
801.30	0.97589
803.75	0.88772
806.02	0.74274
808.55	0.59090
810.95	0.49600
814.13	0.39953
818.51	0.30254
821.45	0.24350
824.85	0.21609
829.99	0.19607
841.18	0.16869
853.72	0.14501
868.51	0.11711
886.05	0.085000
897.67	0.065525
