Wavelength (nm)	CHL260_BChl a, Pyr (Niedzwiedzki, 2010).ems
715.44	0.0092933
722.95	0.0092933
729.12	0.0097267
733.36	0.010160
737.79	0.012327
741.84	0.018395
746.27	0.023163
750.32	0.033565
753.21	0.047868
756.87	0.065157
758.61	0.081242
760.92	0.10784
763.42	0.13889
767.47	0.19740
772.85	0.30272
776.50	0.40251
779.00	0.48259
784.43	0.69194
786.94	0.79379
788.86	0.87918
790.40	0.93899
791.90	0.97621
793.35	0.99577
795.00	1.0000
796.55	0.99490
797.92	0.97337
800.43	0.87961
804.38	0.69974
807.56	0.52854
810.83	0.38464
813.72	0.28712
816.42	0.22601
819.12	0.18396
821.43	0.16186
824.13	0.13889
826.90	0.12285
832.42	0.10725
837.43	0.097712
844.56	0.086010
851.88	0.075174
860.17	0.059137
866.53	0.048735
874.43	0.033565
880.60	0.023596
886.19	0.016662
893.32	0.010594
898.52	0.0062593
905.07	0.0040922
912.40	0.0023585
918.56	0.0019251
927.04	0.0010582
934.75	0.0010582
