Wavelength (nm)	CHL262_BChl a, TEA (Ratsep, 2011).ems
620.06	0.0019086
622.54	0.0027421
624.37	0.0031588
626.52	0.0039923
627.82	0.0035755
630.30	0.0044090
632.56	0.0052425
634.07	0.0035755
635.36	0.0044090
638.27	0.0039923
641.07	0.0044090
643.55	0.0039923
645.59	0.0052425
648.07	0.0039923
649.36	0.0073262
650.33	0.0060760
652.70	0.0073262
654.64	0.0048258
656.58	0.0089932
658.95	0.0085764
661.43	0.0081597
664.88	0.012744
668.97	0.017745
672.85	0.025246
676.94	0.035664
679.10	0.042749
681.47	0.048583
683.84	0.054001
685.35	0.054418
686.96	0.057335
689.12	0.054835
690.73	0.051084
692.03	0.053168
693.43	0.046500
695.48	0.038582
697.74	0.031080
700.22	0.025246
701.51	0.019412
704.20	0.018995
706.90	0.014828
709.59	0.014411
712.71	0.013994
714.87	0.013161
717.45	0.011077
719.39	0.013994
721.65	0.013161
724.67	0.014411
728.77	0.016078
732.32	0.017328
736.20	0.022329
739.22	0.027746
742.23	0.037748
744.93	0.047750
747.30	0.063169
749.56	0.078172
751.50	0.099426
753.22	0.12193
755.81	0.16902
758.93	0.23237
761.84	0.31363
766.04	0.46616
768.41	0.57368
771.43	0.70662
773.26	0.78746
775.20	0.86539
777.25	0.93415
779.08	0.97625
780.59	0.99667
781.70	1.00000
782.74	0.99583
784.36	0.97375
787.05	0.90165
789.42	0.79580
792.22	0.65577
795.45	0.50575
797.39	0.42198
800.09	0.32572
802.67	0.26070
805.04	0.21028
807.52	0.17611
810.00	0.15110
813.01	0.12901
815.82	0.11818
818.51	0.10859
822.60	0.10526
825.51	0.10193
828.10	0.10359
830.58	0.098592
832.95	0.097342
836.50	0.092341
839.19	0.088174
843.72	0.081089
846.84	0.075255
849.32	0.070254
852.23	0.066920
854.17	0.063586
857.40	0.060252
860.53	0.054835
864.19	0.049417
867.85	0.044833
873.24	0.037748
877.22	0.033581
880.56	0.029830
883.80	0.026496
888.21	0.021495
892.85	0.019828
896.19	0.016911
899.96	0.015244
903.62	0.013161
908.14	0.011494
911.16	0.010660
912.45	0.012327
914.39	0.0081597
915.69	0.010660
917.41	0.0098266
919.89	0.0073262
