Wavelength (nm)	CHL265_BChl b, Et2O (Kobayashi, 2006).abs
303.15	0.19292
305.59	0.20718
308.47	0.22169
310.69	0.23559
312.46	0.24768
314.68	0.25614
318.45	0.26158
322.22	0.26702
325.99	0.27427
329.76	0.28273
333.08	0.29180
337.08	0.29965
339.51	0.30993
341.95	0.32201
344.61	0.33894
347.72	0.36795
350.60	0.40421
353.93	0.45195
356.37	0.49124
358.81	0.53596
360.68	0.57343
362.35	0.61211
363.80	0.64283
365.64	0.67305
366.71	0.69017
367.68	0.70075
368.97	0.70931
371.00	0.71435
372.67	0.70931
374.33	0.70125
376.18	0.69068
378.39	0.66852
380.43	0.64283
382.83	0.61614
385.23	0.58542
387.77	0.55570
390.04	0.53505
391.70	0.52196
393.36	0.51340
395.77	0.50886
397.61	0.51239
399.83	0.52146
401.12	0.53606
402.60	0.56124
404.08	0.58592
405.37	0.60959
406.51	0.62437
407.59	0.63486
409.00	0.63989
410.83	0.63444
411.90	0.62227
413.60	0.59583
415.21	0.55931
416.52	0.51692
418.37	0.47201
420.53	0.41955
422.29	0.38262
423.92	0.34946
425.64	0.32008
427.77	0.29364
429.61	0.27056
431.92	0.24831
434.70	0.22313
438.08	0.19249
441.47	0.16815
444.55	0.14633
447.94	0.12660
451.33	0.10855
454.56	0.097642
458.10	0.091347
461.18	0.085891
464.72	0.080854
468.73	0.074978
472.58	0.070781
475.66	0.067004
478.43	0.063227
481.97	0.060709
485.51	0.059030
488.75	0.056931
491.52	0.054833
494.45	0.051475
496.60	0.047278
499.53	0.043501
502.91	0.038464
506.61	0.033848
510.00	0.028811
512.77	0.025034
517.70	0.024195
521.09	0.024195
524.32	0.024614
527.40	0.026293
530.48	0.029231
533.87	0.033008
536.64	0.036366
539.26	0.037625
542.49	0.038045
545.88	0.038884
550.04	0.040563
553.27	0.043081
556.50	0.047278
558.81	0.057771
561.28	0.069522
563.59	0.086730
566.36	0.10772
568.21	0.12702
570.36	0.15010
572.98	0.17193
574.68	0.19291
576.22	0.20341
578.37	0.21432
581.14	0.21810
583.61	0.21390
585.46	0.20383
587.61	0.18998
589.77	0.16815
591.62	0.14843
593.31	0.12660
595.00	0.10688
597.16	0.089248
599.16	0.075818
601.32	0.062807
603.94	0.051055
606.40	0.042661
609.02	0.035107
612.10	0.029231
615.02	0.024195
618.41	0.018319
622.57	0.016640
627.50	0.015801
632.27	0.015381
637.66	0.016640
643.67	0.018739
647.36	0.021676
652.29	0.024195
657.83	0.024614
662.76	0.024614
669.07	0.025454
674.77	0.027133
679.55	0.029231
684.17	0.032169
688.63	0.036786
693.41	0.045180
698.03	0.055672
703.11	0.069942
706.96	0.082953
710.81	0.094704
713.89	0.10268
717.28	0.10730
720.36	0.10981
723.43	0.11065
726.82	0.10981
729.44	0.10813
732.52	0.10604
734.68	0.10310
737.14	0.10184
739.76	0.10436
742.68	0.10855
745.30	0.11359
747.92	0.11989
750.85	0.12996
753.46	0.14381
756.70	0.16018
758.70	0.17739
761.78	0.20341
763.94	0.22775
766.55	0.26468
771.79	0.35912
776.56	0.49216
779.64	0.59834
782.26	0.69068
785.03	0.79183
786.88	0.85100
788.11	0.89004
789.34	0.92739
791.35	0.97230
793.51	0.99414
795.50	1.00000
797.50	0.99458
798.74	0.97314
800.28	0.94502
801.66	0.91018
803.04	0.85940
805.48	0.76874
807.52	0.68312
811.37	0.51902
812.91	0.44222
815.37	0.35240
817.06	0.29574
819.22	0.23698
821.07	0.19082
822.25	0.16144
823.38	0.13332
825.23	0.10813
826.61	0.089668
828.92	0.068263
830.31	0.055672
832.62	0.040983
835.70	0.028811
838.01	0.020837
840.93	0.014542
843.55	0.010345
846.78	0.0069870
849.86	0.0057279
853.25	0.0044688
857.41	0.0036294
862.03	0.0023703
