Wavelength (nm)	CHL267_BChl b, Pyr (Niedzwiedzki, 2010).abs
332.12	0.35632
337.73	0.37087
341.57	0.38869
345.05	0.40975
348.42	0.43258
351.38	0.45505
355.28	0.48252
358.71	0.51249
362.00	0.54459
364.85	0.57919
367.72	0.61736
370.39	0.65660
372.95	0.69655
375.85	0.74792
377.41	0.78038
378.60	0.80693
379.68	0.82650
380.72	0.84186
381.87	0.85251
383.55	0.85895
385.00	0.86058
386.08	0.85821
387.67	0.85152
390.94	0.82972
394.52	0.79727
397.55	0.76457
401.22	0.72840
404.47	0.69991
406.20	0.68455
407.72	0.67464
410.10	0.67093
411.72	0.67464
414.21	0.68604
415.73	0.69471
417.13	0.70239
419.00	0.70462
420.00	0.70189
421.14	0.69327
422.55	0.67810
424.17	0.64566
426.44	0.59636
428.93	0.53567
430.66	0.48935
432.40	0.45729
434.77	0.41801
436.93	0.38927
439.00	0.36499
441.15	0.34146
443.40	0.32313
445.92	0.30430
448.51	0.29068
450.89	0.27903
453.82	0.26615
457.28	0.25253
460.96	0.23246
464.31	0.20695
466.37	0.18975
468.64	0.17004
470.80	0.15270
472.21	0.13858
473.73	0.12545
475.46	0.11380
477.73	0.10390
480.00	0.093244
483.57	0.082840
487.47	0.075408
491.69	0.068967
495.37	0.064013
499.70	0.059059
504.57	0.054600
509.22	0.050388
513.87	0.047168
518.53	0.044195
523.18	0.043452
528.91	0.042214
534.54	0.041718
540.93	0.041718
546.23	0.043204
550.99	0.046177
554.56	0.050388
557.70	0.054104
560.40	0.059554
563.87	0.064508
566.79	0.067976
570.58	0.071692
573.71	0.073674
577.07	0.076151
580.42	0.079124
583.45	0.083831
586.16	0.090024
588.43	0.097208
590.59	0.10712
592.87	0.11826
595.25	0.13288
597.84	0.15195
600.23	0.17152
602.39	0.19184
605.09	0.21859
606.72	0.23544
608.23	0.25005
610.30	0.26491
612.24	0.27681
614.08	0.28225
616.70	0.28523
618.70	0.28283
619.80	0.27780
620.65	0.27111
623.60	0.24609
625.55	0.22577
628.00	0.19679
629.87	0.17128
631.71	0.15047
633.45	0.13337
634.85	0.11975
636.37	0.10959
637.88	0.10117
639.51	0.093492
641.45	0.085565
644.48	0.080115
647.30	0.078133
650.87	0.077390
654.44	0.077638
658.33	0.080610
661.80	0.085812
665.69	0.093244
669.59	0.10365
673.05	0.11356
676.19	0.12495
678.14	0.13238
679.98	0.13808
682.90	0.14328
684.85	0.14502
686.90	0.14328
689.61	0.13882
691.99	0.13214
694.91	0.12520
697.72	0.11777
700.64	0.11232
704.00	0.10935
707.35	0.11108
711.25	0.11727
714.17	0.12545
718.07	0.13585
720.88	0.14229
723.37	0.14700
727.26	0.15121
731.05	0.15270
734.41	0.15220
738.52	0.14972
742.41	0.14725
745.99	0.14749
749.56	0.14948
752.48	0.15567
755.08	0.16310
757.56	0.17202
759.84	0.18441
762.33	0.20125
765.57	0.22577
768.71	0.25352
771.31	0.28473
775.53	0.34196
779.64	0.41776
786.26	0.57848
791.07	0.71344
793.40	0.78062
796.95	0.87337
799.50	0.93044
801.45	0.96373
803.01	0.98335
804.44	0.99733
806.00	1.0000
807.43	0.99762
808.99	0.98395
811.30	0.94887
814.57	0.86861
818.80	0.72414
823.01	0.55024
827.10	0.39120
829.30	0.31213
830.80	0.25892
832.10	0.21730
833.40	0.18490
835.00	0.15577
836.77	0.12485
838.85	0.096613
840.70	0.074318
842.36	0.058563
844.70	0.044889
846.90	0.032404
849.11	0.023189
852.49	0.016054
856.12	0.0092171
860.28	0.0044609
865.08	0.0026773
870.54	0.0017855
876.38	0.0017855
882.09	0.0017855
887.94	0.0017855
892.87	0.0011910
897.68	0.0011910
