Wavelength (nm)	CHL269_BChl g, Et2O (Michalski, 1987).abs
357.34	0.75480
358.90	0.80437
360.09	0.85393
361.17	0.89061
361.81	0.91340
363.39	0.93918
365.00	0.94711
366.55	0.93819
367.95	0.91051
369.61	0.86921
371.86	0.82240
373.85	0.77766
375.63	0.74599
377.34	0.71708
379.50	0.69574
381.82	0.67647
384.48	0.66889
386.81	0.66752
389.47	0.67371
392.04	0.69092
394.95	0.73222
396.78	0.76320
398.60	0.80175
400.51	0.85200
402.76	0.90019
404.42	0.92497
405.66	0.93048
407.08	0.92359
408.57	0.89950
410.56	0.85820
412.31	0.81001
413.89	0.76114
415.88	0.68266
417.71	0.61864
419.54	0.56288
421.86	0.50506
424.57	0.44035
427.01	0.39010
429.59	0.33710
432.16	0.28409
435.07	0.23728
437.39	0.20080
440.39	0.16432
443.13	0.13678
446.03	0.11475
448.86	0.10098
452.10	0.092724
457.58	0.078957
465.06	0.062436
471.53	0.051422
477.85	0.043850
484.58	0.039031
491.64	0.032836
499.44	0.021822
505.51	0.012873
510.41	0.0073658
514.06	0.011496
517.97	0.021133
522.04	0.032836
525.28	0.041096
529.02	0.044538
532.59	0.041785
536.82	0.037654
541.39	0.034901
545.71	0.034901
549.86	0.042473
552.85	0.058306
555.43	0.078957
558.09	0.10374
560.41	0.13609
562.49	0.17395
564.40	0.21044
565.90	0.24141
567.06	0.26138
568.97	0.26757
570.71	0.26069
572.21	0.24417
574.12	0.21732
576.03	0.18428
578.27	0.14642
580.85	0.11475
583.42	0.087217
586.50	0.064501
589.57	0.045915
592.31	0.032147
594.14	0.023198
596.46	0.017691
601.28	0.012184
604.44	0.011496
608.51	0.014250
612.00	0.016315
615.73	0.020445
619.31	0.023198
622.80	0.026733
626.45	0.028705
630.44	0.030082
634.09	0.032836
638.33	0.035589
642.98	0.043850
646.72	0.056929
650.54	0.072761
654.03	0.086529
657.18	0.094548
660.26	0.096854
664.00	0.096166
667.48	0.092036
670.23	0.090659
673.55	0.091347
676.37	0.096854
679.20	0.10374
681.85	0.11475
684.84	0.12783
688.00	0.14229
691.60	0.16018
694.90	0.17189
698.38	0.17808
701.96	0.17464
705.28	0.16638
709.10	0.15674
713.17	0.14917
716.74	0.14573
719.90	0.14573
723.30	0.14848
726.63	0.15468
729.04	0.16363
731.53	0.17739
733.69	0.19805
736.26	0.22696
738.92	0.26688
741.83	0.31989
743.90	0.37496
746.31	0.43829
748.97	0.53397
750.96	0.61451
753.21	0.70882
754.95	0.78385
757.61	0.87196
759.84	0.92841
762.01	0.96903
763.84	0.99312
766.00	1.0000
767.83	0.99312
769.57	0.96834
772.15	0.92290
776.47	0.80863
779.87	0.69023
783.78	0.53535
785.93	0.44586
788.09	0.37771
789.79	0.32746
791.92	0.26964
793.74	0.23246
795.82	0.20080
798.48	0.17671
801.05	0.15812
803.71	0.14711
805.79	0.14160
807.95	0.13841
810.60	0.13519
