Wavelength (nm)	CHL270_BChl g, Et2O (Kobayashi, 2006).abs
300.70	0.24215
304.04	0.24718
307.00	0.25472
309.96	0.26277
312.93	0.27283
315.15	0.28440
316.45	0.29597
317.56	0.30704
318.49	0.31710
319.78	0.32766
321.45	0.33672
322.93	0.34476
325.16	0.34979
327.75	0.35181
330.72	0.35332
333.12	0.35835
334.79	0.36539
336.27	0.37545
338.31	0.39557
341.46	0.43782
344.61	0.48863
347.58	0.54950
351.18	0.62998
354.80	0.71047
356.59	0.74769
358.29	0.79850
359.99	0.85132
361.10	0.89357
361.74	0.92023
362.77	0.93834
364.50	0.94438
365.73	0.93683
367.03	0.92124
368.70	0.88452
370.29	0.83723
371.48	0.79598
372.77	0.76580
373.88	0.74115
375.37	0.72002
376.48	0.70141
377.77	0.68632
379.26	0.67475
381.85	0.66721
384.82	0.66117
386.67	0.65715
390.00	0.65463
392.23	0.65916
393.52	0.66670
395.01	0.68029
396.67	0.70443
398.15	0.73763
399.45	0.77737
400.75	0.81862
401.51	0.84779
402.16	0.86238
403.34	0.88502
405.00	0.89156
406.31	0.88301
407.42	0.86641
408.72	0.84126
409.64	0.81107
410.94	0.75322
412.41	0.68934
413.16	0.64709
414.64	0.59376
415.94	0.54044
417.24	0.49467
418.72	0.45241
420.39	0.41167
422.24	0.36740
424.09	0.33269
426.50	0.30100
428.35	0.27685
430.21	0.25472
432.80	0.23007
435.42	0.20844
437.99	0.18681
440.58	0.16568
443.18	0.14908
445.95	0.13098
449.48	0.11186
453.00	0.093248
458.18	0.077654
461.89	0.068600
465.22	0.063066
469.30	0.058539
473.00	0.054012
476.52	0.049485
480.60	0.045460
484.68	0.041939
488.57	0.040933
491.35	0.038921
494.68	0.036909
498.76	0.036406
503.57	0.035903
507.84	0.036406
511.36	0.035400
514.69	0.037412
517.47	0.041939
520.00	0.045963
522.32	0.050994
524.63	0.056443
526.95	0.059797
529.27	0.061474
531.89	0.061054
534.05	0.057282
536.68	0.052251
538.53	0.048898
541.31	0.048479
543.93	0.051413
546.25	0.056443
548.87	0.062312
550.57	0.069438
552.12	0.081595
553.35	0.093332
554.59	0.10842
556.28	0.13609
558.29	0.16711
559.68	0.20316
560.92	0.23376
561.84	0.26185
562.77	0.28071
563.54	0.29538
564.47	0.30670
565.86	0.30964
567.09	0.30586
568.02	0.29580
569.56	0.27778
570.80	0.24382
571.72	0.21574
573.11	0.18555
574.66	0.15747
576.36	0.13357
577.59	0.11429
578.83	0.10004
580.52	0.086625
582.69	0.071115
584.54	0.061474
586.39	0.053928
588.86	0.045544
591.02	0.039676
593.18	0.034645
595.96	0.030034
598.90	0.027100
601.68	0.025423
604.76	0.024585
608.62	0.026261
612.79	0.027100
616.96	0.029196
620.67	0.031292
624.99	0.036322
628.70	0.039256
631.94	0.041771
635.49	0.043867
639.50	0.047221
643.52	0.049736
648.15	0.050994
652.78	0.053090
655.87	0.056024
659.42	0.060216
663.43	0.061474
666.37	0.063989
669.15	0.067342
671.77	0.072373
674.70	0.081595
677.64	0.092494
680.57	0.10591
684.43	0.12393
687.06	0.13902
689.53	0.15202
692.00	0.16166
694.31	0.16921
696.32	0.17340
699.41	0.17633
702.34	0.17466
704.81	0.17004
707.28	0.16459
709.75	0.15873
712.07	0.15370
713.92	0.14992
715.62	0.14699
717.93	0.14531
720.56	0.14741
722.88	0.15076
725.19	0.15537
727.04	0.16082
729.05	0.16753
730.60	0.17591
732.14	0.18346
733.84	0.19478
736.00	0.21029
738.32	0.23502
740.63	0.26436
742.64	0.29580
744.80	0.33479
746.65	0.38844
748.81	0.45468
751.28	0.53265
754.57	0.64080
757.62	0.77326
760.24	0.87722
761.63	0.92711
762.71	0.95435
764.25	0.98328
765.33	0.99460
767.50	1.0000
769.35	0.99543
770.43	0.98370
771.82	0.96022
773.05	0.92417
774.80	0.86548
776.45	0.81686
778.46	0.75524
780.00	0.69362
782.16	0.59385
785.41	0.45468
789.73	0.29329
792.99	0.20106
794.21	0.16627
795.44	0.14364
796.68	0.12184
798.04	0.10339
799.30	0.083272
800.54	0.069438
801.77	0.056443
804.40	0.045544
807.02	0.033807
809.34	0.025004
812.12	0.018297
816.13	0.013266
819.99	0.0094937
824.62	0.0065593
830.95	0.0040442
838.36	0.0036250
845.16	0.0032058
852.57	0.0027866
859.05	0.0027866
865.54	0.0025290
872.79	0.0025000
