Wavelength (nm)	CHL275_BPhe a, Et2O (Meyer, 1996).abs
301.37	0.22887
303.28	0.23857
305.28	0.24905
306.88	0.26135
307.58	0.27148
308.78	0.28136
310.08	0.29452
311.38	0.30570
312.68	0.31410
314.98	0.32077
317.38	0.32744
319.68	0.33263
322.29	0.33904
324.89	0.35394
327.09	0.37438
328.59	0.40089
330.69	0.42964
332.09	0.46646
332.99	0.50240
334.59	0.54155
337.69	0.58980
339.59	0.63155
341.69	0.68083
343.70	0.73462
345.00	0.77437
346.90	0.83093
349.00	0.88827
350.40	0.92985
351.80	0.96450
352.90	0.98095
354.10	0.99135
356.00	1.0000
357.00	0.99752
358.30	0.98961
360.05	0.96276
362.21	0.90386
364.01	0.83769
365.41	0.77793
366.96	0.73557
369.01	0.69226
370.11	0.66862
371.61	0.64973
372.51	0.63787
373.91	0.62756
374.81	0.62072
376.81	0.61769
378.21	0.61769
379.31	0.62245
379.61	0.62739
380.21	0.63250
380.91	0.63769
382.22	0.64307
384.00	0.64800
386.12	0.64722
387.42	0.64055
388.62	0.62522
390.12	0.55896
392.27	0.46308
393.57	0.40149
395.52	0.31956
397.12	0.25866
398.42	0.20574
400.12	0.16555
400.93	0.14572
401.73	0.12874
402.53	0.11713
403.73	0.10683
405.43	0.097992
407.43	0.087512
409.03	0.076728
411.63	0.067062
414.93	0.060617
418.63	0.051592
423.64	0.047179
427.04	0.044524
431.04	0.039379
434.14	0.035733
438.34	0.032519
440.85	0.031454
444.45	0.032112
447.45	0.035135
451.75	0.039241
455.85	0.040765
458.85	0.039916
462.36	0.037777
466.06	0.035638
468.46	0.033065
471.46	0.030709
473.96	0.031584
475.96	0.035889
478.56	0.039561
480.47	0.044723
482.37	0.049254
483.97	0.053991
485.77	0.058513
487.27	0.063251
489.37	0.068214
492.77	0.070587
495.67	0.070171
497.57	0.067382
499.98	0.065884
502.78	0.066542
505.18	0.072570
506.68	0.081362
508.13	0.095567
510.08	0.12640
512.13	0.15802
513.12	0.17846
514.58	0.20366
516.08	0.22922
517.63	0.25312
518.98	0.27166
519.89	0.28283
520.79	0.29400
521.39	0.30111
522.29	0.30838
523.99	0.31427
524.89	0.31586
526.19	0.31341
527.84	0.30137
530.59	0.26499
533.59	0.21163
535.89	0.16088
537.64	0.12735
539.70	0.090370
540.50	0.075074
541.10	0.063458
541.90	0.052276
543.00	0.041302
543.90	0.033351
545.60	0.026474
547.90	0.023035
549.50	0.019813
553.10	0.015309
557.50	0.014252
564.21	0.014711
570.11	0.014945
576.21	0.014754
583.12	0.014131
587.82	0.014365
595.02	0.015681
599.23	0.017206
602.53	0.019371
605.43	0.023035
608.13	0.027565
610.23	0.030371
614.23	0.032104
616.53	0.035343
619.84	0.037725
623.34	0.038600
626.44	0.038392
629.04	0.036893
633.24	0.036478
637.85	0.036495
641.35	0.036945
644.65	0.037812
646.85	0.039544
649.85	0.040843
652.65	0.045806
654.25	0.049903
656.65	0.055074
659.26	0.063043
662.76	0.072735
665.36	0.082661
668.16	0.090197
670.26	0.096173
672.96	0.10180
676.26	0.10847
678.87	0.10977
681.67	0.11090
684.67	0.11090
686.87	0.10986
689.77	0.10639
692.47	0.10250
694.67	0.099118
697.68	0.097819
699.48	0.097386
701.98	0.096953
704.28	0.099551
705.68	0.10432
708.18	0.11038
710.68	0.12086
713.58	0.13385
716.19	0.15187
719.49	0.17534
722.49	0.21025
725.84	0.25624
728.39	0.30102
730.89	0.35204
732.79	0.38859
734.29	0.41726
736.80	0.46152
739.20	0.50526
740.60	0.53254
742.20	0.55749
743.80	0.57966
744.95	0.59707
747.40	0.61197
750.00	0.61587
752.25	0.61180
754.50	0.59932
757.11	0.54571
759.11	0.49521
761.11	0.43519
762.96	0.38123
764.81	0.32718
766.41	0.28309
768.13	0.24307
770.21	0.19621
771.51	0.16053
772.81	0.13446
773.71	0.11384
774.81	0.096433
776.02	0.081535
777.42	0.069721
778.82	0.058755
780.62	0.047149
782.52	0.035534
786.02	0.027158
790.22	0.019432
795.43	0.012780
798.93	0.0091418
804.43	0.0067945
809.03	0.0047306
814.03	0.0033818
820.04	0.0027174
827.24	0.0024068
843.35	0.0022101
857.06	0.0019956
867.56	0.0019956
879.27	0.0019956
889.17	0.0019956
899.08	0.0019956
