Wavelength (nm)	CHL277_BPhe b, DCM (Davis, 1979).abs
300.25	0.17832
304.42	0.19277
309.84	0.21294
315.48	0.24109
319.39	0.26336
322.64	0.28690
326.33	0.30833
330.23	0.31883
335.22	0.32850
338.47	0.34405
341.94	0.37724
346.51	0.45456
351.74	0.55878
355.75	0.63315
359.14	0.71426
363.28	0.82435
366.56	0.90966
368.75	0.97479
370.25	0.99538
372.00	1.0000
373.25	0.99538
375.66	0.95000
379.05	0.87646
381.62	0.82183
383.81	0.77897
385.57	0.74451
386.65	0.72980
388.60	0.71552
390.55	0.71047
393.15	0.71720
395.32	0.73821
396.60	0.76762
398.15	0.80712
400.11	0.84957
402.00	0.88360
403.50	0.88781
405.10	0.88360
406.83	0.85125
408.76	0.76552
412.19	0.61677
416.26	0.47557
419.28	0.40162
424.65	0.30287
430.50	0.23059
435.47	0.17848
438.71	0.14528
442.75	0.11503
446.40	0.094438
451.04	0.080150
454.72	0.072166
457.10	0.068805
462.30	0.071326
465.33	0.069225
469.45	0.064182
472.48	0.057459
477.46	0.049895
482.66	0.046953
487.64	0.051155
491.76	0.060400
496.09	0.068805
500.42	0.072587
505.19	0.073427
511.04	0.075108
515.59	0.083092
519.71	0.10704
522.75	0.14024
526.01	0.17092
529.27	0.20201
531.44	0.21840
534.04	0.22470
536.20	0.21798
538.92	0.19571
542.45	0.15747
545.49	0.12259
549.81	0.077629
553.06	0.056198
555.65	0.043171
559.11	0.033086
562.80	0.025102
567.78	0.021740
573.19	0.020900
580.99	0.019639
588.57	0.020900
600.48	0.024262
608.93	0.029304
616.52	0.037288
624.10	0.043592
629.30	0.046953
635.58	0.048634
641.00	0.048634
647.93	0.048214
652.69	0.049054
658.33	0.053257
665.04	0.063762
668.73	0.080351
673.07	0.10536
676.32	0.12679
679.14	0.14318
683.70	0.15687
687.60	0.16209
690.84	0.15831
694.31	0.14865
698.20	0.13184
702.53	0.10915
706.86	0.092337
710.54	0.083932
715.30	0.079730
721.37	0.076789
728.08	0.080991
734.15	0.090236
739.13	0.10368
745.21	0.13268
751.72	0.17848
756.49	0.22092
761.05	0.26505
767.57	0.33396
773.22	0.39489
777.95	0.44742
781.47	0.47557
784.00	0.47936
786.45	0.47431
789.48	0.45204
794.80	0.38985
799.50	0.32093
804.20	0.23857
808.68	0.15705
811.00	0.11461
812.80	0.091496
815.81	0.067964
818.18	0.051996
821.00	0.036448
825.11	0.021320
830.09	0.011655
834.85	0.0070328
839.40	0.0028306
845.46	0.0015700
852.18	0.00072954
