Wavelength (nm)	CHL280_BPhe b, Et2O (Kobayashi, 2006).abs
304.63	0.17078
308.29	0.18174
312.33	0.19332
315.41	0.20551
317.14	0.22013
319.64	0.23414
321.76	0.24694
323.45	0.25246
327.54	0.25658
330.62	0.25852
333.70	0.26156
336.20	0.27253
338.89	0.28959
341.01	0.31274
343.51	0.33712
345.95	0.38525
348.13	0.44313
351.21	0.52783
354.49	0.61739
358.25	0.71915
360.84	0.80323
362.38	0.86965
364.50	0.94276
365.65	0.97932
366.55	0.99455
367.77	1.0000
369.50	0.99394
370.46	0.97932
372.00	0.94825
373.74	0.89767
376.05	0.83735
377.20	0.80140
378.74	0.76424
379.90	0.72707
381.05	0.70574
382.01	0.67893
382.98	0.66431
384.13	0.65273
385.09	0.64238
387.21	0.63811
388.75	0.64359
390.29	0.66431
391.83	0.69660
392.75	0.72646
393.56	0.75022
394.72	0.78434
395.87	0.81054
396.64	0.82821
398.38	0.83431
400.11	0.82760
401.46	0.81420
402.61	0.78495
403.50	0.75022
404.73	0.70635
406.65	0.64055
408.19	0.57352
410.31	0.49858
411.66	0.44070
413.78	0.37611
415.51	0.32310
417.82	0.26826
419.49	0.22663
420.93	0.19718
422.53	0.17027
424.14	0.14996
426.06	0.12914
428.47	0.10934
431.20	0.093089
433.92	0.082934
437.77	0.071764
441.14	0.062116
444.67	0.053484
447.88	0.047899
450.61	0.043329
453.33	0.044345
456.22	0.047899
458.79	0.051453
461.84	0.055008
463.92	0.057039
466.65	0.056531
468.89	0.052977
471.46	0.048915
474.03	0.043837
475.95	0.040283
478.20	0.038760
480.93	0.037236
484.29	0.039267
487.18	0.043329
489.75	0.048407
492.32	0.052469
494.56	0.056531
496.97	0.057546
499.37	0.056023
501.94	0.052977
504.35	0.048407
506.27	0.045360
508.52	0.042822
510.76	0.045868
512.69	0.053992
514.29	0.064147
516.54	0.086996
518.30	0.10680
520.23	0.12914
522.15	0.15757
523.76	0.18702
525.84	0.21089
527.45	0.23221
528.73	0.24389
530.82	0.24795
532.74	0.24389
534.67	0.23272
536.11	0.21292
538.03	0.18245
539.64	0.14539
542.21	0.10324
543.49	0.079380
545.41	0.056023
546.86	0.039267
548.78	0.026066
551.35	0.016926
555.04	0.010325
559.69	0.0072789
566.75	0.0052479
574.13	0.0047401
581.35	0.0047401
589.37	0.0047401
597.23	0.0057556
603.81	0.0057556
609.58	0.0082944
613.75	0.010833
618.72	0.015911
622.73	0.019465
627.55	0.024035
632.20	0.027081
635.89	0.028605
640.38	0.028605
644.39	0.027589
648.40	0.026573
652.57	0.024542
656.10	0.023527
659.47	0.023527
662.84	0.025050
666.37	0.027589
670.38	0.031143
673.59	0.034698
676.47	0.040791
679.68	0.046376
682.57	0.052977
685.30	0.060085
688.02	0.066178
690.27	0.071764
692.84	0.075826
695.40	0.080903
697.65	0.083950
700.22	0.085473
703.42	0.083442
706.79	0.079380
709.84	0.075318
713.21	0.070748
716.58	0.067701
719.95	0.065163
723.00	0.066686
727.01	0.070748
730.70	0.076333
733.74	0.084457
737.59	0.094612
740.80	0.10832
743.37	0.12355
745.93	0.14133
749.14	0.16925
751.55	0.19921
754.76	0.24745
757.97	0.31244
761.66	0.39165
763.74	0.44496
765.83	0.49624
767.59	0.53940
769.20	0.57342
770.80	0.61100
773.21	0.65466
774.97	0.67853
776.57	0.69224
778.50	0.69833
781.07	0.69275
782.67	0.68157
784.60	0.66228
786.04	0.63334
788.61	0.57139
791.01	0.50335
792.35	0.45156
794.38	0.39165
796.47	0.32919
797.91	0.28096
799.51	0.23526
800.96	0.19921
802.56	0.16722
803.68	0.14336
805.00	0.11746
806.25	0.098674
807.53	0.081411
808.66	0.066178
810.42	0.050438
812.83	0.038760
815.23	0.027589
818.28	0.017942
821.65	0.010833
825.82	0.0062634
831.12	0.0037246
835.93	0.0027091
841.86	0.0011859
848.44	0.0011859
856.14	0.0011859
