Wavelength (nm)	CHL281_BPhe b, Pyr (Scheer, 1978).abs
308.99	0.25189
318.06	0.29013
324.57	0.31652
333.00	0.34830
337.59	0.36500
340.48	0.37954
342.61	0.39731
345.07	0.43178
348.59	0.48995
353.28	0.56428
357.34	0.64022
360.15	0.70378
363.42	0.78995
366.02	0.85351
368.33	0.91598
370.26	0.96607
372.41	0.99462
374.00	1.0000
375.72	0.99570
377.09	0.97846
378.90	0.93591
381.78	0.87451
385.31	0.80665
388.40	0.75602
391.50	0.72047
393.31	0.71670
395.55	0.72370
398.22	0.74632
399.85	0.77541
402.00	0.81203
403.95	0.84974
405.50	0.86966
407.00	0.87343
408.35	0.86966
409.65	0.85027
411.03	0.81527
413.27	0.72963
414.60	0.66769
416.54	0.57882
418.07	0.52227
420.10	0.46518
422.98	0.40108
426.29	0.34830
430.03	0.29713
434.19	0.25458
440.70	0.19534
444.33	0.16033
449.99	0.11724
455.01	0.089773
461.73	0.070192
465.04	0.065760
469.20	0.060123
472.51	0.051533
474.22	0.046147
478.27	0.041299
481.37	0.039145
484.57	0.039145
490.66	0.040222
494.39	0.043992
498.77	0.054764
504.00	0.069845
507.41	0.088696
510.83	0.11886
514.46	0.15225
517.13	0.18026
518.83	0.20072
521.29	0.22335
523.85	0.23519
525.80	0.23950
528.01	0.23466
531.00	0.21742
533.00	0.20019
535.95	0.16572
540.08	0.12047
544.02	0.084926
547.05	0.062843
549.47	0.045069
552.35	0.032682
555.77	0.026219
559.61	0.024251
564.52	0.022987
571.35	0.024060
579.03	0.025141
589.50	0.029450
599.74	0.034135
606.36	0.038275
612.44	0.040761
619.92	0.042915
630.27	0.048301
639.56	0.052610
646.07	0.055841
651.83	0.063920
656.53	0.071461
660.48	0.087080
663.89	0.10270
668.37	0.12748
672.11	0.15117
674.89	0.16518
677.87	0.17326
681.29	0.17687
685.03	0.17252
690.47	0.16141
696.23	0.14148
700.82	0.12155
704.24	0.11024
707.55	0.10324
712.88	0.097314
716.94	0.094621
722.70	0.094621
728.15	0.098391
732.20	0.10593
736.37	0.11563
739.78	0.12748
743.09	0.14309
746.72	0.16464
751.31	0.19965
756.65	0.24974
761.45	0.30467
764.30	0.34345
768.17	0.38654
771.70	0.42532
775.20	0.45548
778.63	0.47352
781.50	0.47756
784.29	0.47379
787.49	0.45602
791.12	0.42801
795.50	0.37900
800.20	0.31006
803.93	0.25189
807.88	0.18941
810.76	0.13825
814.39	0.10108
817.52	0.074692
820.58	0.052610
823.25	0.041299
826.77	0.028912
830.08	0.020294
