Wavelength (nm)	CHL284_BChllide a ME, Et2O (Holt, 1954b).abs
302.46	0.18947
305.55	0.18808
308.15	0.18496
311.66	0.18925
315.17	0.19823
317.77	0.20799
320.51	0.22126
324.18	0.24468
327.84	0.27747
332.88	0.33407
336.70	0.38677
341.12	0.45430
345.09	0.52690
347.00	0.56828
349.22	0.61824
351.50	0.67211
353.95	0.72558
355.32	0.75279
357.00	0.76384
358.83	0.75603
360.82	0.71973
362.95	0.66352
365.24	0.61082
367.38	0.56984
370.28	0.52222
373.95	0.48747
376.08	0.47420
378.53	0.46483
382.19	0.45937
385.85	0.46366
388.91	0.47772
390.42	0.49372
391.81	0.50855
393.49	0.51441
394.56	0.50816
396.23	0.47772
399.05	0.39809
400.66	0.33134
402.80	0.25639
404.80	0.19550
407.84	0.13109
410.28	0.099473
414.40	0.070197
417.61	0.057315
421.73	0.046776
427.07	0.041311
435.62	0.035456
445.85	0.028040
454.09	0.023746
464.63	0.018671
473.18	0.015158
482.03	0.011645
490.43	0.0093032
498.37	0.0073515
505.85	0.0093032
512.56	0.012164
519.59	0.018067
527.52	0.026869
533.48	0.032724
539.43	0.038189
544.47	0.042131
547.98	0.047167
550.88	0.055754
552.71	0.063171
555.00	0.074881
557.29	0.091666
560.96	0.12016
565.84	0.16193
569.35	0.19784
571.34	0.20877
574.09	0.21267
576.68	0.20916
579.43	0.19589
583.70	0.16583
589.35	0.12250
594.24	0.083469
598.21	0.059658
601.72	0.042873
604.92	0.033114
608.74	0.023356
613.17	0.017110
617.75	0.015094
623.55	0.014277
630.11	0.013597
636.83	0.015549
643.40	0.019842
649.04	0.022575
655.15	0.026478
661.10	0.030382
665.99	0.035456
670.87	0.043263
676.37	0.054583
680.95	0.064732
685.22	0.075271
690.11	0.086591
694.54	0.096740
699.42	0.10338
704.77	0.10845
709.80	0.11079
714.08	0.11079
719.27	0.11079
723.24	0.11274
727.21	0.11704
731.02	0.12641
733.62	0.13851
735.60	0.15607
737.74	0.18066
740.72	0.23492
744.55	0.32158
748.12	0.42385
754.08	0.61004
758.81	0.76579
761.70	0.86103
764.60	0.95355
765.98	0.98009
767.66	0.99648
769.50	1.00000
771.17	0.99627
772.45	0.97836
774.41	0.93208
777.74	0.82044
780.50	0.69084
785.07	0.46405
788.38	0.29074
789.34	0.24780
790.87	0.20643
792.39	0.16973
794.68	0.13226
797.28	0.093617
800.49	0.063951
803.69	0.042873
807.20	0.028430
811.63	0.015939
815.14	0.0077418
818.96	0.0022770
